  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.521       3.561      16.581       0.000       0.000       0.000      34.716      -8.948      -0.320
    2      1      24.959       3.572      15.365       0.000       0.000       0.000      34.973      -8.923      -0.319
    3      1      25.029       3.597      15.204       0.000       0.000       0.000      35.026      -8.804      -0.314
    4      1      24.877       3.547      15.254       0.000       0.000       0.000      34.876      -8.802      -0.314
    5      1      26.197       3.620      15.718       0.000       0.000       0.000      36.746      -8.789      -0.314
    6      1      24.793       3.605      15.715       0.000       0.000       0.000      35.353      -8.760      -0.313
    7      1      26.142       3.714      15.680       0.000       0.000       0.000      36.795      -8.742      -0.312
    8      1      24.877       3.479      15.405       0.000       0.000       0.000      35.053      -8.708      -0.311
    9      1      25.004       3.489      15.342       0.000       0.000       0.000      35.148      -8.687      -0.310
   10      1      24.921       3.559      15.232       0.000       0.000       0.000      35.030      -8.681      -0.310
   11      1      24.893       3.469      15.673       0.000       0.000       0.000      35.360      -8.675      -0.310
   12      1      24.722       3.438      16.078       0.000       0.000       0.000      35.563      -8.675      -0.310
   13      1      24.957       3.382      15.658       0.000       0.000       0.000      35.336      -8.662      -0.309
   14      1      24.954       3.528      15.291       0.000       0.000       0.000      35.145      -8.627      -0.308
   15      1      23.616       3.585      16.205       0.000       0.000       0.000      34.790      -8.615      -0.308
   16      1      25.001       3.507      15.264       0.000       0.000       0.000      35.160      -8.612      -0.308
   17      1      25.219       3.482      15.149       0.000       0.000       0.000      35.262      -8.588      -0.307
   18      1      24.759       3.535      15.506       0.000       0.000       0.000      35.238      -8.563      -0.306
   19      1      23.198       3.507      16.847       0.000       0.000       0.000      34.997      -8.555      -0.306
   20      1      23.653       3.567      16.153       0.000       0.000       0.000      34.833      -8.541      -0.305
   21      1      24.787       3.441      15.660       0.000       0.000       0.000      35.375      -8.513      -0.304
   22      1      25.133       3.479      15.240       0.000       0.000       0.000      35.355      -8.496      -0.303
   23      1      23.654       4.545      17.150       0.000       0.000       0.000      36.872      -8.478      -0.303
   24      1      24.871       3.454      15.487       0.000       0.000       0.000      35.343      -8.470      -0.302
   25      1      25.170       3.519      14.986       0.000       0.000       0.000      35.210      -8.465      -0.302
   26      1      25.283       3.596      14.714       0.000       0.000       0.000      35.128      -8.465      -0.302
   27      1      24.143       3.610      15.822       0.000       0.000       0.000      35.126      -8.449      -0.302
   28      1      25.499       3.648      14.948       0.000       0.000       0.000      35.649      -8.447      -0.302
   29      1      25.281       3.500      15.026       0.000       0.000       0.000      35.367      -8.441      -0.301
   30      1      24.848       3.468      15.524       0.000       0.000       0.000      35.400      -8.440      -0.301
   31      1      23.092       3.512      16.896       0.000       0.000       0.000      35.069      -8.431      -0.301
   32      1      24.741       3.530      15.459       0.000       0.000       0.000      35.320      -8.410      -0.300
   33      1      24.808       3.641      15.296       0.000       0.000       0.000      35.335      -8.410      -0.300
   34      1      24.877       3.502      15.245       0.000       0.000       0.000      35.225      -8.398      -0.300
   35      1      23.638       3.525      15.891       0.000       0.000       0.000      34.661      -8.394      -0.300
   36      1      24.996       3.546      15.252       0.000       0.000       0.000      35.423      -8.371      -0.299
   37      1      24.635       3.536      15.509       0.000       0.000       0.000      35.314      -8.366      -0.299
   38      1      25.240       3.716      15.139       0.000       0.000       0.000      35.730      -8.366      -0.299
   39      1      25.349       3.492      15.059       0.000       0.000       0.000      35.535      -8.366      -0.299
   40      1      25.001       3.458      15.498       0.000       0.000       0.000      35.593      -8.365      -0.299
   41      1      25.055       3.544      15.392       0.000       0.000       0.000      35.628      -8.363      -0.299
   42      1      25.110       3.466      15.291       0.000       0.000       0.000      35.504      -8.362      -0.299
   43      1      24.922       3.558      15.306       0.000       0.000       0.000      35.425      -8.360      -0.299
   44      1      24.785       3.568      15.312       0.000       0.000       0.000      35.308      -8.358      -0.298
   45      1      24.624       3.522      15.710       0.000       0.000       0.000      35.502      -8.354      -0.298
   46      1      24.771       3.582      15.320       0.000       0.000       0.000      35.323      -8.349      -0.298
   47      1      25.049       3.548      15.154       0.000       0.000       0.000      35.402      -8.349      -0.298
   48      1      24.596       3.586      15.506       0.000       0.000       0.000      35.341      -8.347      -0.298
   49      1      24.183       3.651      15.464       0.000       0.000       0.000      34.953      -8.345      -0.298
   50      1      23.889       3.495      15.683       0.000       0.000       0.000      34.731      -8.336      -0.298
