  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.438       3.886      15.001       0.000       0.000       0.000      33.614      -8.711      -0.323
    2      1      22.849       3.795      15.622       0.000       0.000       0.000      33.559      -8.708      -0.323
    3      1      23.987       3.655      14.999       0.000       0.000       0.000      33.946      -8.695      -0.322
    4      1      24.579       3.705      14.121       0.000       0.000       0.000      33.719      -8.687      -0.322
    5      1      23.801       3.611      15.155       0.000       0.000       0.000      33.881      -8.685      -0.322
    6      1      24.166       3.694      14.525       0.000       0.000       0.000      33.706      -8.680      -0.321
    7      1      24.400       3.643      14.490       0.000       0.000       0.000      33.863      -8.671      -0.321
    8      1      23.544       3.740      15.247       0.000       0.000       0.000      33.875      -8.657      -0.321
    9      1      24.522       3.641      14.397       0.000       0.000       0.000      33.905      -8.654      -0.321
   10      1      23.754       3.688      15.056       0.000       0.000       0.000      33.854      -8.644      -0.320
   11      1      24.325       3.703      15.234       0.000       0.000       0.000      34.626      -8.636      -0.320
   12      1      24.045       3.694      14.706       0.000       0.000       0.000      33.816      -8.630      -0.320
   13      1      24.081       3.648      14.820       0.000       0.000       0.000      33.941      -8.608      -0.319
   14      1      24.171       3.658      14.584       0.000       0.000       0.000      33.808      -8.605      -0.319
   15      1      25.706       4.062      14.790       0.000       0.000       0.000      35.992      -8.567      -0.317
   16      1      23.760       3.677      15.083       0.000       0.000       0.000      33.956      -8.562      -0.317
   17      1      23.856       3.647      14.974       0.000       0.000       0.000      33.916      -8.561      -0.317
   18      1      23.817       3.683      15.048       0.000       0.000       0.000      33.988      -8.559      -0.317
   19      1      24.404       3.662      14.249       0.000       0.000       0.000      33.757      -8.558      -0.317
   20      1      23.863       3.715      14.836       0.000       0.000       0.000      33.862      -8.551      -0.317
   21      1      24.113       3.651      14.731       0.000       0.000       0.000      33.947      -8.548      -0.317
   22      1      24.046       3.717      14.619       0.000       0.000       0.000      33.838      -8.545      -0.316
   23      1      24.112       3.690      14.427       0.000       0.000       0.000      33.689      -8.540      -0.316
   24      1      24.265       3.640      14.463       0.000       0.000       0.000      33.839      -8.529      -0.316
   25      1      24.026       3.651      14.802       0.000       0.000       0.000      33.950      -8.527      -0.316
   26      1      23.645       3.765      15.089       0.000       0.000       0.000      33.973      -8.526      -0.316
   27      1      23.059       3.861      15.842       0.000       0.000       0.000      34.249      -8.512      -0.315
   28      1      24.390       3.724      14.565       0.000       0.000       0.000      34.171      -8.507      -0.315
   29      1      24.241       3.650      14.630       0.000       0.000       0.000      34.022      -8.500      -0.315
   30      1      24.191       3.657      14.599       0.000       0.000       0.000      33.947      -8.500      -0.315
   31      1      24.205       3.658      14.609       0.000       0.000       0.000      33.977      -8.495      -0.315
   32      1      24.285       3.614      14.648       0.000       0.000       0.000      34.052      -8.495      -0.315
   33      1      24.277       3.644      14.600       0.000       0.000       0.000      34.028      -8.493      -0.315
   34      1      23.210       3.838      15.568       0.000       0.000       0.000      34.127      -8.489      -0.314
   35      1      24.119       3.675      14.728       0.000       0.000       0.000      34.043      -8.480      -0.314
   36      1      24.122       3.702      14.620       0.000       0.000       0.000      33.971      -8.473      -0.314
   37      1      23.878       3.633      14.980       0.000       0.000       0.000      34.020      -8.471      -0.314
   38      1      24.106       3.708      14.469       0.000       0.000       0.000      33.818      -8.465      -0.314
   39      1      23.410       5.018      18.521       0.000       0.000       0.000      38.493      -8.455      -0.313
   40      1      24.033       3.708      14.600       0.000       0.000       0.000      33.886      -8.455      -0.313
   41      1      23.905       3.710      14.807       0.000       0.000       0.000      33.976      -8.447      -0.313
   42      1      24.580       3.789      14.099       0.000       0.000       0.000      34.029      -8.438      -0.313
   43      1      19.965       4.871      17.682       0.000       0.000       0.000      34.083      -8.435      -0.312
   44      1      23.709       3.643      15.213       0.000       0.000       0.000      34.131      -8.433      -0.312
   45      1      24.138       3.715      14.645       0.000       0.000       0.000      34.085      -8.412      -0.312
   46      1      24.185       3.702      14.504       0.000       0.000       0.000      33.979      -8.412      -0.312
   47      1      23.504       3.712      15.181       0.000       0.000       0.000      34.007      -8.390      -0.311
   48      1      24.032       3.652      14.791       0.000       0.000       0.000      34.085      -8.390      -0.311
   49      1      23.490       3.739      15.304       0.000       0.000       0.000      34.163      -8.369      -0.310
   50      1      23.793       3.697      14.764       0.000       0.000       0.000      33.903      -8.351      -0.309
