  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.090       4.035      15.907       0.000       0.000       0.000      35.262      -9.770      -0.337
    2      1      25.186       4.133      15.811       0.000       0.000       0.000      35.473      -9.657      -0.333
    3      1      25.223       4.057      15.704       0.000       0.000       0.000      35.344      -9.641      -0.332
    4      1      24.508       3.935      16.632       0.000       0.000       0.000      35.457      -9.619      -0.332
    5      1      26.102       4.104      15.661       0.000       0.000       0.000      36.261      -9.606      -0.331
    6      1      25.277       4.062      15.738       0.000       0.000       0.000      35.501      -9.577      -0.330
    7      1      25.096       4.097      15.723       0.000       0.000       0.000      35.347      -9.569      -0.330
    8      1      25.313       4.055      15.739       0.000       0.000       0.000      35.575      -9.532      -0.329
    9      1      25.182       4.328      15.800       0.000       0.000       0.000      35.815      -9.495      -0.327
   10      1      25.549       4.054      15.541       0.000       0.000       0.000      35.661      -9.483      -0.327
   11      1      24.976       3.984      16.221       0.000       0.000       0.000      35.710      -9.471      -0.327
   12      1      25.815       4.080      15.375       0.000       0.000       0.000      35.815      -9.455      -0.326
   13      1      25.330       4.027      15.567       0.000       0.000       0.000      35.478      -9.446      -0.326
   14      1      24.964       4.028      15.950       0.000       0.000       0.000      35.541      -9.400      -0.324
   15      1      24.142       4.183      16.846       0.000       0.000       0.000      35.782      -9.389      -0.324
   16      1      23.569       4.060      16.846       0.000       0.000       0.000      35.130      -9.345      -0.322
   17      1      24.786       4.053      16.067       0.000       0.000       0.000      35.563      -9.343      -0.322
   18      1      25.469       4.145      15.186       0.000       0.000       0.000      35.465      -9.336      -0.322
   19      1      25.141       4.075      15.772       0.000       0.000       0.000      35.653      -9.336      -0.322
   20      1      23.946       4.064      16.314       0.000       0.000       0.000      34.997      -9.327      -0.322
   21      1      25.245       4.107      15.482       0.000       0.000       0.000      35.514      -9.320      -0.321
   22      1      25.158       4.100      15.572       0.000       0.000       0.000      35.511      -9.319      -0.321
   23      1      25.506       4.083      15.242       0.000       0.000       0.000      35.511      -9.319      -0.321
   24      1      25.155       4.109      15.424       0.000       0.000       0.000      35.372      -9.316      -0.321
   25      1      25.026       4.086      15.498       0.000       0.000       0.000      35.297      -9.313      -0.321
   26      1      24.713       3.955      16.262       0.000       0.000       0.000      35.618      -9.311      -0.321
   27      1      24.561       4.342      15.547       0.000       0.000       0.000      35.163      -9.287      -0.320
   28      1      24.896       4.399      15.126       0.000       0.000       0.000      35.152      -9.270      -0.320
   29      1      25.868       4.047      14.959       0.000       0.000       0.000      35.616      -9.257      -0.319
   30      1      24.934       4.134      15.726       0.000       0.000       0.000      35.545      -9.249      -0.319
   31      1      24.216       4.039      16.365       0.000       0.000       0.000      35.377      -9.244      -0.319
   32      1      24.960       4.079      15.695       0.000       0.000       0.000      35.493      -9.241      -0.319
   33      1      24.813       4.165      15.798       0.000       0.000       0.000      35.535      -9.241      -0.319
   34      1      25.378       4.137      15.255       0.000       0.000       0.000      35.539      -9.231      -0.318
   35      1      25.522       4.029      15.230       0.000       0.000       0.000      35.562      -9.219      -0.318
   36      1      23.873       4.034      16.506       0.000       0.000       0.000      35.234      -9.180      -0.317
   37      1      25.047       4.112      15.491       0.000       0.000       0.000      35.471      -9.180      -0.317
   38      1      25.571       4.061      15.163       0.000       0.000       0.000      35.620      -9.174      -0.316
   39      1      25.070       4.702      16.216       0.000       0.000       0.000      36.817      -9.171      -0.316
   40      1      23.916       4.120      16.144       0.000       0.000       0.000      35.010      -9.170      -0.316
   41      1      24.992       4.078      15.723       0.000       0.000       0.000      35.626      -9.167      -0.316
   42      1      25.049       4.102      15.757       0.000       0.000       0.000      35.745      -9.164      -0.316
   43      1      24.708       3.949      15.854       0.000       0.000       0.000      35.356      -9.154      -0.316
   44      1      24.154       4.095      16.708       0.000       0.000       0.000      35.803      -9.154      -0.316
   45      1      23.864       4.066      16.410       0.000       0.000       0.000      35.188      -9.151      -0.316
   46      1      24.563       4.255      15.549       0.000       0.000       0.000      35.216      -9.151      -0.316
   47      1      25.090       4.118      15.503       0.000       0.000       0.000      35.564      -9.146      -0.315
   48      1      24.924       4.292      15.215       0.000       0.000       0.000      35.289      -9.142      -0.315
   49      1      24.941       4.292      15.211       0.000       0.000       0.000      35.302      -9.142      -0.315
   50      1      24.723       4.369      15.847       0.000       0.000       0.000      35.809      -9.131      -0.315
