  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.291       5.534      21.457       0.000       0.000       0.000      46.478      -8.804      -0.314
    2      1      28.784       5.488      21.002       0.000       0.000       0.000      46.472      -8.802      -0.314
    3      1      28.083       5.552      21.625       0.000       0.000       0.000      46.457      -8.802      -0.314
    4      1      28.350       5.525      21.360       0.000       0.000       0.000      46.450      -8.785      -0.314
    5      1      28.609       5.489      21.092       0.000       0.000       0.000      46.406      -8.785      -0.314
    6      1      28.588       5.513      21.158       0.000       0.000       0.000      46.474      -8.785      -0.314
    7      1      28.736       5.430      21.134       0.000       0.000       0.000      46.516      -8.783      -0.314
    8      1      28.091       5.505      21.570       0.000       0.000       0.000      46.386      -8.780      -0.314
    9      1      28.299       5.564      21.482       0.000       0.000       0.000      46.567      -8.778      -0.313
   10      1      28.616       5.549      21.168       0.000       0.000       0.000      46.559      -8.774      -0.313
   11      1      28.336       5.509      21.435       0.000       0.000       0.000      46.509      -8.772      -0.313
   12      1      28.431       5.494      21.273       0.000       0.000       0.000      46.428      -8.770      -0.313
   13      1      28.429       5.540      21.257       0.000       0.000       0.000      46.456      -8.770      -0.313
   14      1      28.532       5.527      21.237       0.000       0.000       0.000      46.526      -8.770      -0.313
   15      1      28.298       5.534      21.494       0.000       0.000       0.000      46.556      -8.770      -0.313
   16      1      28.736       5.477      21.030       0.000       0.000       0.000      46.473      -8.770      -0.313
   17      1      28.601       5.518      21.175       0.000       0.000       0.000      46.524      -8.770      -0.313
   18      1      28.096       5.513      21.643       0.000       0.000       0.000      46.482      -8.770      -0.313
   19      1      28.072       5.534      21.654       0.000       0.000       0.000      46.502      -8.758      -0.313
   20      1      28.600       5.516      21.106       0.000       0.000       0.000      46.465      -8.758      -0.313
   21      1      28.597       5.489      21.109       0.000       0.000       0.000      46.438      -8.757      -0.313
   22      1      28.236       5.504      21.477       0.000       0.000       0.000      46.459      -8.757      -0.313
   23      1      28.091       5.497      21.542       0.000       0.000       0.000      46.377      -8.753      -0.313
   24      1      28.126       5.516      21.652       0.000       0.000       0.000      46.545      -8.749      -0.312
   25      1      28.570       5.495      21.169       0.000       0.000       0.000      46.485      -8.748      -0.312
   26      1      28.602       5.497      21.194       0.000       0.000       0.000      46.548      -8.745      -0.312
   27      1      28.631       5.527      21.168       0.000       0.000       0.000      46.580      -8.745      -0.312
   28      1      28.478       5.509      21.199       0.000       0.000       0.000      46.442      -8.745      -0.312
   29      1      28.536       5.498      21.146       0.000       0.000       0.000      46.436      -8.743      -0.312
   30      1      28.019       5.458      21.716       0.000       0.000       0.000      46.451      -8.741      -0.312
   31      1      28.320       5.491      21.376       0.000       0.000       0.000      46.446      -8.741      -0.312
   32      1      28.456       5.509      21.294       0.000       0.000       0.000      46.520      -8.739      -0.312
   33      1      28.328       5.381      21.609       0.000       0.000       0.000      46.579      -8.739      -0.312
   34      1      28.206       5.423      21.630       0.000       0.000       0.000      46.520      -8.739      -0.312
   35      1      28.047       5.559      21.671       0.000       0.000       0.000      46.543      -8.734      -0.312
   36      1      28.794       5.451      20.998       0.000       0.000       0.000      46.513      -8.731      -0.312
   37      1      28.171       5.496      21.677       0.000       0.000       0.000      46.614      -8.730      -0.312
   38      1      28.562       5.504      21.107       0.000       0.000       0.000      46.445      -8.728      -0.312
   39      1      28.264       5.543      21.440       0.000       0.000       0.000      46.520      -8.728      -0.312
   40      1      28.593       5.492      21.221       0.000       0.000       0.000      46.579      -8.727      -0.312
   41      1      28.329       5.505      21.356       0.000       0.000       0.000      46.463      -8.726      -0.312
   42      1      28.160       5.535      21.443       0.000       0.000       0.000      46.411      -8.726      -0.312
   43      1      28.230       5.507      21.453       0.000       0.000       0.000      46.464      -8.726      -0.312
   44      1      28.184       5.528      21.500       0.000       0.000       0.000      46.486      -8.726      -0.312
   45      1      28.139       5.449      21.639       0.000       0.000       0.000      46.513      -8.714      -0.311
   46      1      28.277       5.473      21.449       0.000       0.000       0.000      46.485      -8.714      -0.311
   47      1      28.741       5.456      21.118       0.000       0.000       0.000      46.604      -8.710      -0.311
   48      1      27.658       5.450      22.081       0.000       0.000       0.000      46.494      -8.695      -0.311
   49      1      28.411       5.555      21.314       0.000       0.000       0.000      46.589      -8.691      -0.310
   50      1      28.030       5.529      21.707       0.000       0.000       0.000      46.583      -8.683      -0.310
