  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.758       3.015      16.741       0.000       0.000       0.000      35.542      -8.972      -0.320
    2      1      24.255       3.681      16.842       0.000       0.000       0.000      35.808      -8.970      -0.320
    3      1      24.772       3.773      16.404       0.000       0.000       0.000      35.980      -8.969      -0.320
    4      1      24.514       3.710      16.511       0.000       0.000       0.000      35.782      -8.953      -0.320
    5      1      25.162       3.779      15.954       0.000       0.000       0.000      35.947      -8.947      -0.320
    6      1      24.515       3.677      16.617       0.000       0.000       0.000      35.874      -8.935      -0.319
    7      1      25.689       2.005      16.269       0.000       0.000       0.000      35.039      -8.923      -0.319
    8      1      24.323       3.803      16.637       0.000       0.000       0.000      35.846      -8.916      -0.318
    9      1      24.719       3.749      16.211       0.000       0.000       0.000      35.771      -8.909      -0.318
   10      1      24.646       3.611      16.533       0.000       0.000       0.000      35.910      -8.881      -0.317
   11      1      24.628       3.690      16.323       0.000       0.000       0.000      35.772      -8.870      -0.317
   12      1      24.626       3.708      16.275       0.000       0.000       0.000      35.752      -8.857      -0.316
   13      1      23.879       3.505      16.445       0.000       0.000       0.000      34.984      -8.844      -0.316
   14      1      25.301       2.204      16.338       0.000       0.000       0.000      35.000      -8.842      -0.316
   15      1      24.452       3.713      16.802       0.000       0.000       0.000      36.132      -8.835      -0.316
   16      1      24.509       3.652      16.454       0.000       0.000       0.000      35.781      -8.834      -0.315
   17      1      24.441       3.704      16.654       0.000       0.000       0.000      35.989      -8.810      -0.315
   18      1      24.891       3.081      15.787       0.000       0.000       0.000      34.951      -8.808      -0.315
   19      1      24.483       3.686      16.671       0.000       0.000       0.000      36.050      -8.791      -0.314
   20      1      24.447       3.674      16.651       0.000       0.000       0.000      35.985      -8.787      -0.314
   21      1      24.574       3.712      16.325       0.000       0.000       0.000      35.826      -8.785      -0.314
   22      1      24.686       3.618      16.305       0.000       0.000       0.000      35.829      -8.780      -0.314
   23      1      24.486       3.619      16.491       0.000       0.000       0.000      35.825      -8.772      -0.313
   24      1      24.583       3.623      16.451       0.000       0.000       0.000      35.886      -8.772      -0.313
   25      1      24.860       3.127      15.782       0.000       0.000       0.000      34.999      -8.770      -0.313
   26      1      24.760       3.647      16.634       0.000       0.000       0.000      36.275      -8.767      -0.313
   27      1      24.671       3.691      16.421       0.000       0.000       0.000      36.022      -8.761      -0.313
   28      1      24.950       3.736      16.170       0.000       0.000       0.000      36.099      -8.758      -0.313
   29      1      24.550       3.669      16.470       0.000       0.000       0.000      35.934      -8.755      -0.313
   30      1      24.880       3.570      16.436       0.000       0.000       0.000      36.142      -8.744      -0.312
   31      1      24.794       3.742      16.073       0.000       0.000       0.000      35.869      -8.740      -0.312
   32      1      24.378       3.667      16.596       0.000       0.000       0.000      35.901      -8.740      -0.312
   33      1      24.882       3.608      15.839       0.000       0.000       0.000      35.589      -8.739      -0.312
   34      1      24.268       3.132      16.326       0.000       0.000       0.000      34.999      -8.726      -0.312
   35      1      24.640       3.683      16.225       0.000       0.000       0.000      35.831      -8.717      -0.311
   36      1      24.800       3.707      16.098       0.000       0.000       0.000      35.894      -8.711      -0.311
   37      1      24.956       3.709      16.044       0.000       0.000       0.000      36.005      -8.704      -0.311
   38      1      24.975       3.651      16.064       0.000       0.000       0.000      35.986      -8.704      -0.311
   39      1      24.745       3.674      16.208       0.000       0.000       0.000      35.924      -8.703      -0.311
   40      1      24.831       3.669      16.099       0.000       0.000       0.000      35.904      -8.695      -0.311
   41      1      24.520       3.662      16.573       0.000       0.000       0.000      36.060      -8.695      -0.311
   42      1      24.603       3.784      16.434       0.000       0.000       0.000      36.129      -8.692      -0.310
   43      1      25.372       2.196      16.277       0.000       0.000       0.000      35.160      -8.684      -0.310
   44      1      25.621       2.180      16.042       0.000       0.000       0.000      35.164      -8.679      -0.310
   45      1      24.274       3.721      16.655       0.000       0.000       0.000      35.971      -8.679      -0.310
   46      1      24.628       3.729      16.428       0.000       0.000       0.000      36.108      -8.677      -0.310
   47      1      24.961       3.674      15.702       0.000       0.000       0.000      35.662      -8.676      -0.310
   48      1      24.256       3.664      16.881       0.000       0.000       0.000      36.126      -8.675      -0.310
   49      1      24.566       3.456      16.137       0.000       0.000       0.000      35.487      -8.672      -0.310
   50      1      23.266       3.571      17.571       0.000       0.000       0.000      35.743      -8.665      -0.309
