  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      12.221       1.585      18.163       0.000       0.000       0.000      22.509      -9.459      -0.350
    2      1      11.972       1.602      18.391       0.000       0.000       0.000      22.522      -9.443      -0.350
    3      1      11.944       1.601      18.410       0.000       0.000       0.000      22.521      -9.433      -0.349
    4      1      12.117       1.577      18.237       0.000       0.000       0.000      22.500      -9.430      -0.349
    5      1      11.898       1.551      18.502       0.000       0.000       0.000      22.521      -9.430      -0.349
    6      1      12.032       1.627      18.291       0.000       0.000       0.000      22.520      -9.430      -0.349
    7      1      12.001       1.573      18.353       0.000       0.000       0.000      22.498      -9.430      -0.349
    8      1      12.026       1.612      18.284       0.000       0.000       0.000      22.492      -9.430      -0.349
    9      1      11.986       1.573      18.369       0.000       0.000       0.000      22.497      -9.430      -0.349
   10      1      12.443       1.702      17.876       0.000       0.000       0.000      22.597      -9.423      -0.349
   11      1      12.120       1.591      18.340       0.000       0.000       0.000      22.633      -9.419      -0.349
   12      1      12.097       1.628      18.209       0.000       0.000       0.000      22.526      -9.407      -0.348
   13      1      12.264       1.590      18.193       0.000       0.000       0.000      22.655      -9.393      -0.348
   14      1      12.256       1.625      18.066       0.000       0.000       0.000      22.553      -9.393      -0.348
   15      1      12.341       1.589      18.057       0.000       0.000       0.000      22.594      -9.393      -0.348
   16      1      12.276       1.622      18.146       0.000       0.000       0.000      22.658      -9.386      -0.348
   17      1      11.990       1.629      18.469       0.000       0.000       0.000      22.703      -9.386      -0.348
   18      1      12.229       1.587      18.232       0.000       0.000       0.000      22.673      -9.375      -0.347
   19      1      12.044       1.622      18.379       0.000       0.000       0.000      22.679      -9.367      -0.347
   20      1      12.538       1.575      18.066       0.000       0.000       0.000      22.831      -9.348      -0.346
   21      1      12.200       1.604      18.181       0.000       0.000       0.000      22.650      -9.336      -0.346
   22      1      12.379       1.658      18.144       0.000       0.000       0.000      22.917      -9.264      -0.343
   23      1      12.344       1.604      18.129       0.000       0.000       0.000      22.828      -9.248      -0.343
   24      1      12.316       1.611      18.085       0.000       0.000       0.000      22.766      -9.246      -0.342
   25      1      13.014       1.636      17.709       0.000       0.000       0.000      23.138      -9.221      -0.342
   26      1      12.365       1.619      18.152       0.000       0.000       0.000      22.922      -9.214      -0.341
   27      1      12.247       1.603      18.200       0.000       0.000       0.000      22.889      -9.161      -0.339
   28      1      12.184       1.543      18.376       0.000       0.000       0.000      22.948      -9.155      -0.339
   29      1      12.585       1.638      17.986       0.000       0.000       0.000      23.065      -9.144      -0.339
   30      1      13.254       1.505      18.419       0.000       0.000       0.000      24.130      -9.049      -0.335
   31      1      13.046       1.636      18.541       0.000       0.000       0.000      24.191      -9.032      -0.335
   32      1      12.118       1.560      18.406       0.000       0.000       0.000      23.071      -9.013      -0.334
   33      1      12.174       1.558      18.217       0.000       0.000       0.000      22.938      -9.010      -0.334
   34      1      13.519       1.690      17.880       0.000       0.000       0.000      24.101      -8.988      -0.333
   35      1      13.280       1.627      18.209       0.000       0.000       0.000      24.153      -8.963      -0.332
   36      1      13.427       1.573      17.640       0.000       0.000       0.000      23.685      -8.956      -0.332
   37      1      13.366       1.566      18.087       0.000       0.000       0.000      24.067      -8.952      -0.332
   38      1      13.695       1.553      17.847       0.000       0.000       0.000      24.148      -8.947      -0.331
   39      1      11.975       1.622      18.384       0.000       0.000       0.000      23.034      -8.946      -0.331
   40      1      13.530       1.605      18.009       0.000       0.000       0.000      24.201      -8.942      -0.331
   41      1      13.382       1.517      17.923       0.000       0.000       0.000      23.886      -8.936      -0.331
   42      1      13.458       1.636      17.916       0.000       0.000       0.000      24.083      -8.926      -0.331
   43      1      13.576       1.655      17.788       0.000       0.000       0.000      24.093      -8.926      -0.331
   44      1      13.566       1.603      17.831       0.000       0.000       0.000      24.077      -8.923      -0.330
   45      1      14.238       3.167      20.400       0.000       0.000       0.000      28.886      -8.919      -0.330
   46      1      13.447       1.599      17.944       0.000       0.000       0.000      24.074      -8.916      -0.330
   47      1      13.759       1.676      17.597       0.000       0.000       0.000      24.115      -8.916      -0.330
   48      1      13.650       1.618      17.731       0.000       0.000       0.000      24.083      -8.916      -0.330
   49      1      13.569       1.609      17.811       0.000       0.000       0.000      24.074      -8.915      -0.330
   50      1      13.552       1.588      17.971       0.000       0.000       0.000      24.203      -8.907      -0.330
