  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      21.214       4.585      18.099       0.000       0.000       0.000      34.725      -9.173      -0.340
    2      1      24.328       3.639      15.546       0.000       0.000       0.000      34.635      -8.878      -0.329
    3      1      21.935       4.532      17.164       0.000       0.000       0.000      34.789      -8.842      -0.327
    4      1      21.475       4.497      17.527       0.000       0.000       0.000      34.658      -8.840      -0.327
    5      1      24.552       3.653      15.370       0.000       0.000       0.000      34.763      -8.812      -0.326
    6      1      24.422       3.625      15.490       0.000       0.000       0.000      34.725      -8.812      -0.326
    7      1      24.163       3.576      15.875       0.000       0.000       0.000      34.820      -8.794      -0.326
    8      1      21.059       4.532      17.996       0.000       0.000       0.000      34.839      -8.749      -0.324
    9      1      24.152       3.516      16.055       0.000       0.000       0.000      35.049      -8.675      -0.321
   10      1      24.275       3.568      15.538       0.000       0.000       0.000      34.710      -8.670      -0.321
   11      1      24.070       3.549      15.802       0.000       0.000       0.000      34.757      -8.663      -0.321
   12      1      24.411       3.590      15.401       0.000       0.000       0.000      34.747      -8.655      -0.321
   13      1      24.520       3.510      15.951       0.000       0.000       0.000      35.336      -8.645      -0.320
   14      1      24.621       3.486      15.537       0.000       0.000       0.000      35.016      -8.629      -0.320
   15      1      24.656       3.548      15.298       0.000       0.000       0.000      34.893      -8.610      -0.319
   16      1      23.985       3.538      16.456       0.000       0.000       0.000      35.380      -8.599      -0.318
   17      1      24.358       3.544      15.679       0.000       0.000       0.000      34.992      -8.590      -0.318
   18      1      24.901       3.591      15.806       0.000       0.000       0.000      35.709      -8.590      -0.318
   19      1      24.228       3.656      15.680       0.000       0.000       0.000      34.982      -8.583      -0.318
   20      1      23.026       3.573      16.504       0.000       0.000       0.000      34.523      -8.580      -0.318
   21      1      24.602       3.616      15.987       0.000       0.000       0.000      35.627      -8.579      -0.318
   22      1      24.458       3.569      15.326       0.000       0.000       0.000      34.824      -8.529      -0.316
   23      1      24.263       3.529      15.571       0.000       0.000       0.000      34.839      -8.524      -0.316
   24      1      24.430       3.572      15.365       0.000       0.000       0.000      34.851      -8.517      -0.315
   25      1      24.696       3.570      15.257       0.000       0.000       0.000      35.020      -8.503      -0.315
   26      1      24.290       3.584      15.889       0.000       0.000       0.000      35.294      -8.469      -0.314
   27      1      24.455       3.549      15.595       0.000       0.000       0.000      35.140      -8.458      -0.313
   28      1      24.294       3.466      16.086       0.000       0.000       0.000      35.419      -8.427      -0.312
   29      1      24.063       3.444      16.125       0.000       0.000       0.000      35.221      -8.411      -0.312
   30      1      24.203       3.621      15.677       0.000       0.000       0.000      35.116      -8.386      -0.311
   31      1      24.709       3.530      15.228       0.000       0.000       0.000      35.118      -8.348      -0.309
   32      1      24.258       3.746      16.390       0.000       0.000       0.000      36.061      -8.334      -0.309
   33      1      23.622       3.642      16.723       0.000       0.000       0.000      35.667      -8.320      -0.308
   34      1      24.470       3.702      16.070       0.000       0.000       0.000      35.926      -8.316      -0.308
   35      1      24.746       3.521      15.372       0.000       0.000       0.000      35.330      -8.309      -0.308
   36      1      23.162       4.592      17.395       0.000       0.000       0.000      36.851      -8.298      -0.307
   37      1      23.120       3.501      16.373       0.000       0.000       0.000      34.703      -8.291      -0.307
   38      1      24.430       3.561      15.385       0.000       0.000       0.000      35.094      -8.282      -0.307
   39      1      24.531       3.579      15.315       0.000       0.000       0.000      35.149      -8.277      -0.307
   40      1      24.526       3.501      15.688       0.000       0.000       0.000      35.439      -8.275      -0.306
   41      1      24.015       3.475      16.416       0.000       0.000       0.000      35.634      -8.272      -0.306
   42      1      24.741       3.572      15.362       0.000       0.000       0.000      35.403      -8.271      -0.306
   43      1      24.520       3.549      15.290       0.000       0.000       0.000      35.087      -8.271      -0.306
   44      1      24.661       3.712      15.629       0.000       0.000       0.000      35.731      -8.271      -0.306
   45      1      23.442       3.510      15.885       0.000       0.000       0.000      34.578      -8.260      -0.306
   46      1      24.111       3.564      15.740       0.000       0.000       0.000      35.159      -8.256      -0.306
   47      1      24.221       3.553      15.601       0.000       0.000       0.000      35.120      -8.255      -0.306
   48      1      24.394       3.702      16.063       0.000       0.000       0.000      35.912      -8.247      -0.305
   49      1      24.812       3.536      15.938       0.000       0.000       0.000      36.042      -8.243      -0.305
   50      1      24.494       3.743      15.954       0.000       0.000       0.000      35.950      -8.241      -0.305
