  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.299       6.722      18.870       0.000       0.000       0.000      40.222      -9.670      -0.333
    2      1      28.238       6.146      16.781       0.000       0.000       0.000      41.749      -9.416      -0.325
    3      1      30.650       7.276      15.192       0.000       0.000       0.000      43.736      -9.382      -0.324
    4      1      28.838       6.292      15.822       0.000       0.000       0.000      41.837      -9.115      -0.314
    5      1      29.564       5.747      14.575       0.000       0.000       0.000      40.778      -9.107      -0.314
    6      1      28.022       5.872      16.187       0.000       0.000       0.000      41.000      -9.081      -0.313
    7      1      29.425       5.780      14.632       0.000       0.000       0.000      40.819      -9.019      -0.311
    8      1      28.314       5.814      16.039       0.000       0.000       0.000      41.151      -9.015      -0.311
    9      1      29.089       5.849      15.018       0.000       0.000       0.000      40.968      -8.988      -0.310
   10      1      29.692       5.832      14.474       0.000       0.000       0.000      41.011      -8.988      -0.310
   11      1      25.631       6.980      17.319       0.000       0.000       0.000      40.978      -8.953      -0.309
   12      1      27.740       6.976      16.745       0.000       0.000       0.000      42.529      -8.932      -0.308
   13      1      29.739       5.729      14.385       0.000       0.000       0.000      40.927      -8.927      -0.308
   14      1      28.895       5.851      15.123       0.000       0.000       0.000      40.985      -8.884      -0.306
   15      1      29.664       5.442      16.140       0.000       0.000       0.000      42.367      -8.879      -0.306
   16      1      29.331       5.712      15.016       0.000       0.000       0.000      41.193      -8.865      -0.306
   17      1      26.481       8.321      17.266       0.000       0.000       0.000      43.229      -8.839      -0.305
   18      1      29.506       5.790      15.275       0.000       0.000       0.000      41.761      -8.810      -0.304
   19      1      29.461       5.770      14.907       0.000       0.000       0.000      41.337      -8.801      -0.303
   20      1      29.308       5.847      14.697       0.000       0.000       0.000      41.073      -8.779      -0.303
   21      1      27.917       7.010      17.032       0.000       0.000       0.000      43.186      -8.773      -0.303
   22      1      29.589       5.690      14.845       0.000       0.000       0.000      41.375      -8.749      -0.302
   23      1      29.371       5.799      14.805       0.000       0.000       0.000      41.230      -8.745      -0.302
   24      1      29.069       5.764      15.495       0.000       0.000       0.000      41.587      -8.742      -0.301
   25      1      30.934       5.944      14.477       0.000       0.000       0.000      42.636      -8.719      -0.301
   26      1      29.810       5.696      14.342       0.000       0.000       0.000      41.132      -8.717      -0.301
   27      1      29.271       5.766      15.091       0.000       0.000       0.000      41.422      -8.705      -0.300
   28      1      28.921       5.803      15.181       0.000       0.000       0.000      41.208      -8.697      -0.300
   29      1      29.029       5.772      15.083       0.000       0.000       0.000      41.188      -8.696      -0.300
   30      1      28.905       5.765      15.205       0.000       0.000       0.000      41.178      -8.696      -0.300
   31      1      29.450       5.768      14.819       0.000       0.000       0.000      41.361      -8.676      -0.299
   32      1      28.733       5.974      15.681       0.000       0.000       0.000      41.734      -8.654      -0.298
   33      1      28.316       5.849      15.665       0.000       0.000       0.000      41.190      -8.640      -0.298
   34      1      29.919       5.779      15.143       0.000       0.000       0.000      42.204      -8.638      -0.298
   35      1      28.992       5.764      15.126       0.000       0.000       0.000      41.261      -8.621      -0.297
   36      1      28.291       5.887      15.697       0.000       0.000       0.000      41.267      -8.608      -0.297
   37      1      29.809       5.787      14.404       0.000       0.000       0.000      41.398      -8.602      -0.297
   38      1      29.178       5.781      15.155       0.000       0.000       0.000      41.519      -8.595      -0.296
   39      1      29.719       5.670      14.608       0.000       0.000       0.000      41.408      -8.590      -0.296
   40      1      28.869       5.768      15.375       0.000       0.000       0.000      41.425      -8.586      -0.296
   41      1      28.722       5.877      15.446       0.000       0.000       0.000      41.460      -8.585      -0.296
   42      1      29.524       5.737      14.736       0.000       0.000       0.000      41.421      -8.576      -0.296
   43      1      30.006       5.772      14.476       0.000       0.000       0.000      41.692      -8.562      -0.295
   44      1      29.599       5.778      14.521       0.000       0.000       0.000      41.336      -8.562      -0.295
   45      1      29.252       5.905      15.423       0.000       0.000       0.000      42.025      -8.555      -0.295
   46      1      30.091       5.647      14.640       0.000       0.000       0.000      41.836      -8.541      -0.295
   47      1      28.647       7.320      16.965       0.000       0.000       0.000      44.391      -8.540      -0.294
   48      1      29.214       5.858      14.780       0.000       0.000       0.000      41.323      -8.529      -0.294
   49      1      29.090       5.750      15.168       0.000       0.000       0.000      41.485      -8.523      -0.294
   50      1      28.815       5.989      16.053       0.000       0.000       0.000      42.338      -8.519      -0.294
