  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      34.642       4.322      18.389       0.000       0.000       0.000      49.299      -8.055      -0.298
    2      1      34.555       4.314      18.414       0.000       0.000       0.000      49.235      -8.048      -0.298
    3      1      34.536       4.330      18.420       0.000       0.000       0.000      49.237      -8.048      -0.298
    4      1      33.633       4.163      18.821       0.000       0.000       0.000      48.598      -8.018      -0.297
    5      1      34.583       4.324      18.364       0.000       0.000       0.000      49.265      -8.006      -0.297
    6      1      34.634       4.301      18.384       0.000       0.000       0.000      49.410      -7.910      -0.293
    7      1      34.553       4.330      18.371       0.000       0.000       0.000      49.349      -7.905      -0.293
    8      1      34.609       4.327      18.344       0.000       0.000       0.000      49.388      -7.892      -0.292
    9      1      33.988       4.193      18.249       0.000       0.000       0.000      48.541      -7.889      -0.292
   10      1      34.480       4.362      18.448       0.000       0.000       0.000      49.425      -7.865      -0.291
   11      1      33.741       4.103      18.810       0.000       0.000       0.000      48.789      -7.865      -0.291
   12      1      33.929       4.179      18.386       0.000       0.000       0.000      48.642      -7.852      -0.291
   13      1      32.869       4.777      20.490       0.000       0.000       0.000      50.310      -7.826      -0.290
   14      1      33.708       4.171      18.607       0.000       0.000       0.000      48.663      -7.823      -0.290
   15      1      34.795       4.320      18.393       0.000       0.000       0.000      49.687      -7.820      -0.290
   16      1      33.912       4.183      18.322       0.000       0.000       0.000      48.604      -7.814      -0.289
   17      1      33.589       4.716      19.885       0.000       0.000       0.000      50.386      -7.804      -0.289
   18      1      33.642       4.180      18.578       0.000       0.000       0.000      48.603      -7.797      -0.289
   19      1      33.937       4.193      18.484       0.000       0.000       0.000      48.853      -7.761      -0.287
   20      1      32.150       6.911      22.909       0.000       0.000       0.000      54.231      -7.739      -0.287
   21      1      33.793       4.172      18.490       0.000       0.000       0.000      48.738      -7.717      -0.286
   22      1      33.602       4.148      18.716       0.000       0.000       0.000      48.757      -7.709      -0.286
   23      1      33.264       4.164      19.156       0.000       0.000       0.000      48.878      -7.706      -0.285
   24      1      33.688       4.200      18.504       0.000       0.000       0.000      48.694      -7.698      -0.285
   25      1      33.663       4.170      18.539       0.000       0.000       0.000      48.679      -7.693      -0.285
   26      1      25.686       4.093      31.364       0.000       0.000       0.000      53.456      -7.687      -0.285
   27      1      33.853       4.184      18.343       0.000       0.000       0.000      48.706      -7.674      -0.284
   28      1      34.002       4.179      18.211       0.000       0.000       0.000      48.722      -7.670      -0.284
   29      1      34.363       4.962      20.589       0.000       0.000       0.000      52.246      -7.667      -0.284
   30      1      34.091       5.312      20.448       0.000       0.000       0.000      52.199      -7.652      -0.283
   31      1      33.498       4.130      19.015       0.000       0.000       0.000      49.003      -7.640      -0.283
   32      1      32.698       4.301      21.873       0.000       0.000       0.000      51.237      -7.635      -0.283
   33      1      35.045       4.039      17.942       0.000       0.000       0.000      49.397      -7.630      -0.283
   34      1      34.118       4.701      21.045       0.000       0.000       0.000      52.254      -7.611      -0.282
   35      1      34.067       4.109      18.344       0.000       0.000       0.000      48.916      -7.604      -0.282
   36      1      33.752       4.172      18.678       0.000       0.000       0.000      49.002      -7.599      -0.281
   37      1      34.191       4.186      18.077       0.000       0.000       0.000      48.863      -7.591      -0.281
   38      1      33.097       4.685      22.032       0.000       0.000       0.000      52.226      -7.588      -0.281
   39      1      33.384       4.131      19.136       0.000       0.000       0.000      49.065      -7.586      -0.281
   40      1      32.255       4.723      21.944       0.000       0.000       0.000      51.343      -7.579      -0.281
   41      1      34.198       5.344      20.284       0.000       0.000       0.000      52.255      -7.572      -0.280
   42      1      33.655       4.157      18.524       0.000       0.000       0.000      48.766      -7.570      -0.280
   43      1      34.593       4.341      18.374       0.000       0.000       0.000      49.745      -7.564      -0.280
   44      1      33.756       4.119      18.560       0.000       0.000       0.000      48.879      -7.556      -0.280
   45      1      34.802       4.307      18.356       0.000       0.000       0.000      49.917      -7.548      -0.280
   46      1      32.366       4.471      22.012       0.000       0.000       0.000      51.307      -7.543      -0.279
   47      1      34.536       4.339      18.401       0.000       0.000       0.000      49.747      -7.529      -0.279
   48      1      34.666       4.327      18.417       0.000       0.000       0.000      49.886      -7.523      -0.279
   49      1      33.893       4.185      18.679       0.000       0.000       0.000      49.242      -7.515      -0.278
   50      1      33.380       4.108      19.158       0.000       0.000       0.000      49.132      -7.514      -0.278
