  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.227       4.669      13.964       0.000       0.000       0.000      39.107      -7.753      -0.298
    2      1      28.052       4.770      14.514       0.000       0.000       0.000      39.586      -7.751      -0.298
    3      1      27.922       4.796      14.530       0.000       0.000       0.000      39.521      -7.727      -0.297
    4      1      27.902       4.817      14.546       0.000       0.000       0.000      39.560      -7.706      -0.296
    5      1      28.073       4.670      14.096       0.000       0.000       0.000      39.146      -7.693      -0.296
    6      1      28.421       4.697      13.666       0.000       0.000       0.000      39.096      -7.687      -0.296
    7      1      28.076       4.620      14.087       0.000       0.000       0.000      39.103      -7.681      -0.295
    8      1      27.991       4.640      14.161       0.000       0.000       0.000      39.114      -7.678      -0.295
    9      1      28.169       4.652      13.979       0.000       0.000       0.000      39.123      -7.677      -0.295
   10      1      27.889       4.690      14.242       0.000       0.000       0.000      39.146      -7.674      -0.295
   11      1      28.314       4.677      13.703       0.000       0.000       0.000      39.019      -7.674      -0.295
   12      1      28.314       4.639      13.876       0.000       0.000       0.000      39.154      -7.674      -0.295
   13      1      28.059       4.677      14.056       0.000       0.000       0.000      39.117      -7.674      -0.295
   14      1      27.978       4.607      14.137       0.000       0.000       0.000      39.051      -7.671      -0.295
   15      1      27.881       4.603      14.229       0.000       0.000       0.000      39.045      -7.668      -0.295
   16      1      27.925       4.645      14.093       0.000       0.000       0.000      38.995      -7.668      -0.295
   17      1      27.992       4.616      14.200       0.000       0.000       0.000      39.140      -7.667      -0.295
   18      1      27.937       4.590      14.276       0.000       0.000       0.000      39.136      -7.667      -0.295
   19      1      28.079       4.636      14.114       0.000       0.000       0.000      39.164      -7.664      -0.295
   20      1      27.774       4.606      14.435       0.000       0.000       0.000      39.151      -7.663      -0.295
   21      1      27.932       4.636      14.221       0.000       0.000       0.000      39.125      -7.663      -0.295
   22      1      28.037       4.672      14.003       0.000       0.000       0.000      39.051      -7.661      -0.295
   23      1      28.000       4.680      14.010       0.000       0.000       0.000      39.070      -7.620      -0.293
   24      1      26.822       4.654      15.513       0.000       0.000       0.000      39.370      -7.618      -0.293
   25      1      27.334       4.646      14.897       0.000       0.000       0.000      39.265      -7.611      -0.293
   26      1      28.157       4.629      14.057       0.000       0.000       0.000      39.236      -7.607      -0.293
   27      1      27.931       4.674      14.060       0.000       0.000       0.000      39.063      -7.602      -0.292
   28      1      28.119       4.621      14.062       0.000       0.000       0.000      39.200      -7.602      -0.292
   29      1      28.101       4.668      14.023       0.000       0.000       0.000      39.191      -7.602      -0.292
   30      1      28.283       4.626      13.862       0.000       0.000       0.000      39.169      -7.602      -0.292
   31      1      28.046       4.649      13.955       0.000       0.000       0.000      39.049      -7.602      -0.292
   32      1      27.637       4.630      14.433       0.000       0.000       0.000      39.099      -7.602      -0.292
   33      1      28.265       4.645      13.862       0.000       0.000       0.000      39.170      -7.602      -0.292
   34      1      28.249       4.646      13.875       0.000       0.000       0.000      39.168      -7.602      -0.292
   35      1      28.131       4.637      13.952       0.000       0.000       0.000      39.128      -7.592      -0.292
   36      1      28.344       4.719      13.718       0.000       0.000       0.000      39.193      -7.588      -0.292
   37      1      28.159       4.644      13.983       0.000       0.000       0.000      39.199      -7.587      -0.292
   38      1      28.162       4.636      14.001       0.000       0.000       0.000      39.212      -7.587      -0.292
   39      1      28.192       4.587      14.134       0.000       0.000       0.000      39.343      -7.570      -0.291
   40      1      27.978       4.619      14.083       0.000       0.000       0.000      39.110      -7.570      -0.291
   41      1      27.733       4.551      14.508       0.000       0.000       0.000      39.222      -7.569      -0.291
   42      1      28.424       4.640      13.908       0.000       0.000       0.000      39.409      -7.563      -0.291
   43      1      28.653       4.708      13.398       0.000       0.000       0.000      39.196      -7.562      -0.291
   44      1      28.114       4.630      14.039       0.000       0.000       0.000      39.221      -7.561      -0.291
   45      1      28.509       4.618      13.728       0.000       0.000       0.000      39.297      -7.558      -0.291
   46      1      27.822       4.643      14.244       0.000       0.000       0.000      39.152      -7.558      -0.291
   47      1      27.821       4.659      14.217       0.000       0.000       0.000      39.139      -7.558      -0.291
   48      1      28.142       4.654      13.908       0.000       0.000       0.000      39.152      -7.553      -0.290
   49      1      27.921       4.685      14.082       0.000       0.000       0.000      39.136      -7.552      -0.290
   50      1      27.997       4.652      14.017       0.000       0.000       0.000      39.120      -7.546      -0.290
