  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.218       4.470      15.364       0.000       0.000       0.000      35.527      -9.526      -0.353
    2      1      25.286       4.359      15.387       0.000       0.000       0.000      35.621      -9.410      -0.349
    3      1      25.308       4.408      15.397       0.000       0.000       0.000      35.716      -9.398      -0.348
    4      1      25.173       4.379      15.408       0.000       0.000       0.000      35.563      -9.398      -0.348
    5      1      25.323       4.311      15.378       0.000       0.000       0.000      35.630      -9.382      -0.347
    6      1      25.261       4.443      15.545       0.000       0.000       0.000      35.889      -9.360      -0.347
    7      1      25.376       4.366      15.185       0.000       0.000       0.000      35.575      -9.353      -0.346
    8      1      23.532       4.481      16.948       0.000       0.000       0.000      35.643      -9.319      -0.345
    9      1      25.385       4.309      15.287       0.000       0.000       0.000      35.663      -9.317      -0.345
   10      1      25.129       4.398      15.438       0.000       0.000       0.000      35.660      -9.305      -0.345
   11      1      24.872       4.391      16.023       0.000       0.000       0.000      35.995      -9.291      -0.344
   12      1      25.001       4.428      15.419       0.000       0.000       0.000      35.566      -9.281      -0.344
   13      1      25.030       4.301      15.569       0.000       0.000       0.000      35.624      -9.276      -0.344
   14      1      25.384       4.315      15.268       0.000       0.000       0.000      35.695      -9.272      -0.343
   15      1      25.322       4.377      15.157       0.000       0.000       0.000      35.584      -9.272      -0.343
   16      1      25.120       4.396      15.297       0.000       0.000       0.000      35.545      -9.268      -0.343
   17      1      25.049       4.427      15.337       0.000       0.000       0.000      35.562      -9.251      -0.343
   18      1      24.994       4.404      15.405       0.000       0.000       0.000      35.552      -9.251      -0.343
   19      1      24.588       4.338      16.212       0.000       0.000       0.000      35.894      -9.243      -0.342
   20      1      23.723       4.360      16.618       0.000       0.000       0.000      35.458      -9.243      -0.342
   21      1      24.897       4.392      15.993       0.000       0.000       0.000      36.043      -9.239      -0.342
   22      1      25.536       4.428      14.895       0.000       0.000       0.000      35.621      -9.238      -0.342
   23      1      25.463       4.338      15.080       0.000       0.000       0.000      35.661      -9.219      -0.341
   24      1      25.024       4.269      15.634       0.000       0.000       0.000      35.713      -9.215      -0.341
   25      1      25.221       4.420      15.171       0.000       0.000       0.000      35.610      -9.202      -0.341
   26      1      25.331       4.365      15.183       0.000       0.000       0.000      35.678      -9.202      -0.341
   27      1      25.292       4.352      15.191       0.000       0.000       0.000      35.633      -9.202      -0.341
   28      1      24.515       4.449      15.686       0.000       0.000       0.000      35.448      -9.201      -0.341
   29      1      25.165       4.389      15.269       0.000       0.000       0.000      35.625      -9.198      -0.341
   30      1      24.922       4.339      15.444       0.000       0.000       0.000      35.523      -9.182      -0.340
   31      1      24.878       4.619      15.025       0.000       0.000       0.000      35.340      -9.181      -0.340
   32      1      25.508       4.348      15.089       0.000       0.000       0.000      35.768      -9.176      -0.340
   33      1      25.112       4.212      15.710       0.000       0.000       0.000      35.862      -9.172      -0.340
   34      1      25.480       4.369      15.027       0.000       0.000       0.000      35.703      -9.172      -0.340
   35      1      25.397       4.368      15.108       0.000       0.000       0.000      35.706      -9.167      -0.340
   36      1      25.027       4.353      15.598       0.000       0.000       0.000      35.812      -9.165      -0.339
   37      1      25.193       4.290      15.818       0.000       0.000       0.000      36.142      -9.158      -0.339
   38      1      25.302       4.284      15.307       0.000       0.000       0.000      35.754      -9.139      -0.338
   39      1      24.726       4.331      16.147       0.000       0.000       0.000      36.066      -9.139      -0.338
   40      1      24.902       4.432      15.424       0.000       0.000       0.000      35.623      -9.135      -0.338
   41      1      25.092       4.404      15.296       0.000       0.000       0.000      35.665      -9.126      -0.338
   42      1      25.091       4.352      15.473       0.000       0.000       0.000      35.791      -9.125      -0.338
   43      1      25.044       4.270      15.660       0.000       0.000       0.000      35.850      -9.123      -0.338
   44      1      24.969       4.328      15.546       0.000       0.000       0.000      35.721      -9.122      -0.338
   45      1      24.732       4.284      15.729       0.000       0.000       0.000      35.642      -9.103      -0.337
   46      1      24.973       4.396      15.378       0.000       0.000       0.000      35.645      -9.102      -0.337
   47      1      25.824       4.292      14.955       0.000       0.000       0.000      35.976      -9.096      -0.337
   48      1      25.229       4.246      15.470       0.000       0.000       0.000      35.850      -9.094      -0.337
   49      1      26.023       4.338      14.620       0.000       0.000       0.000      35.891      -9.090      -0.337
   50      1      25.059       4.356      15.350       0.000       0.000       0.000      35.675      -9.090      -0.337
