  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      13.959       1.615      17.728       0.000       0.000       0.000      23.768      -9.535      -0.353
    2      1      14.109       1.479      18.029       0.000       0.000       0.000      24.182      -9.435      -0.349
    3      1      13.650       1.630      17.832       0.000       0.000       0.000      23.685      -9.428      -0.349
    4      1      14.395       1.574      17.840       0.000       0.000       0.000      24.422      -9.387      -0.348
    5      1      13.590       1.535      17.999       0.000       0.000       0.000      23.785      -9.338      -0.346
    6      1      13.837       1.509      17.988       0.000       0.000       0.000      24.017      -9.317      -0.345
    7      1      13.762       1.596      18.232       0.000       0.000       0.000      24.293      -9.297      -0.344
    8      1      12.442       1.575      18.630       0.000       0.000       0.000      23.359      -9.289      -0.344
    9      1      12.527       1.528      18.665       0.000       0.000       0.000      23.435      -9.286      -0.344
   10      1      14.473       1.739      17.477       0.000       0.000       0.000      24.408      -9.281      -0.344
   11      1      13.368       1.600      18.186       0.000       0.000       0.000      23.894      -9.261      -0.343
   12      1      12.458       1.389      19.143       0.000       0.000       0.000      23.732      -9.258      -0.343
   13      1      13.450       1.594      18.117       0.000       0.000       0.000      23.932      -9.230      -0.342
   14      1      12.610       1.478      18.667       0.000       0.000       0.000      23.543      -9.212      -0.341
   15      1      13.722       1.591      17.722       0.000       0.000       0.000      23.833      -9.201      -0.341
   16      1      12.506       1.537      18.546       0.000       0.000       0.000      23.388      -9.200      -0.341
   17      1      12.539       1.541      18.510       0.000       0.000       0.000      23.390      -9.200      -0.341
   18      1      13.536       1.515      18.115       0.000       0.000       0.000      23.967      -9.199      -0.341
   19      1      13.467       1.624      20.495       0.000       0.000       0.000      26.387      -9.198      -0.341
   20      1      13.585       1.551      18.458       0.000       0.000       0.000      24.397      -9.197      -0.341
   21      1      14.062       1.542      17.989       0.000       0.000       0.000      24.407      -9.186      -0.340
   22      1      13.749       1.559      18.202       0.000       0.000       0.000      24.325      -9.185      -0.340
   23      1      12.248       1.693      18.237       0.000       0.000       0.000      23.017      -9.161      -0.339
   24      1      13.929       1.571      17.990       0.000       0.000       0.000      24.344      -9.147      -0.339
   25      1      12.129       1.640      18.247       0.000       0.000       0.000      22.878      -9.137      -0.338
   26      1      13.936       1.610      17.582       0.000       0.000       0.000      23.992      -9.136      -0.338
   27      1      13.346       1.574      18.118       0.000       0.000       0.000      23.904      -9.135      -0.338
   28      1      13.634       1.639      17.873       0.000       0.000       0.000      24.027      -9.119      -0.338
   29      1      13.285       1.552      18.172       0.000       0.000       0.000      23.892      -9.118      -0.338
   30      1      13.012       1.513      20.995       0.000       0.000       0.000      26.403      -9.117      -0.338
   31      1      11.831       1.635      18.595       0.000       0.000       0.000      22.946      -9.115      -0.338
   32      1      12.131       1.686      18.392       0.000       0.000       0.000      23.098      -9.110      -0.337
   33      1      13.532       1.629      17.845       0.000       0.000       0.000      23.898      -9.108      -0.337
   34      1      13.587       1.610      17.931       0.000       0.000       0.000      24.023      -9.105      -0.337
   35      1      13.679       1.617      17.718       0.000       0.000       0.000      23.917      -9.097      -0.337
   36      1      13.438       1.616      17.957       0.000       0.000       0.000      23.914      -9.097      -0.337
   37      1      13.342       1.632      18.318       0.000       0.000       0.000      24.195      -9.096      -0.337
   38      1      13.938       1.469      18.222       0.000       0.000       0.000      24.533      -9.096      -0.337
   39      1      13.828       1.557      17.708       0.000       0.000       0.000      24.002      -9.091      -0.337
   40      1      13.709       1.580      17.794       0.000       0.000       0.000      23.993      -9.091      -0.337
   41      1      12.175       1.550      18.782       0.000       0.000       0.000      23.424      -9.082      -0.336
   42      1      14.080       1.486      18.022       0.000       0.000       0.000      24.508      -9.080      -0.336
   43      1      12.211       1.520      18.477       0.000       0.000       0.000      23.134      -9.075      -0.336
   44      1      13.643       1.569      17.877       0.000       0.000       0.000      24.028      -9.061      -0.336
   45      1      13.739       1.644      17.625       0.000       0.000       0.000      23.947      -9.061      -0.336
   46      1      13.447       1.592      17.946       0.000       0.000       0.000      23.925      -9.061      -0.336
   47      1      13.548       1.619      17.828       0.000       0.000       0.000      23.933      -9.061      -0.336
   48      1      13.565       1.505      18.062       0.000       0.000       0.000      24.075      -9.057      -0.335
   49      1      12.268       1.607      18.222       0.000       0.000       0.000      23.049      -9.049      -0.335
   50      1      12.401       1.524      18.665       0.000       0.000       0.000      23.546      -9.044      -0.335
