  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.255       5.481      21.602       0.000       0.000       0.000      46.587      -8.751      -0.313
    2      1      29.189       5.459      20.792       0.000       0.000       0.000      46.867      -8.573      -0.306
    3      1      27.906       5.461      21.939       0.000       0.000       0.000      46.750      -8.556      -0.306
    4      1      28.136       5.437      22.035       0.000       0.000       0.000      47.056      -8.553      -0.305
    5      1      28.080       5.549      21.688       0.000       0.000       0.000      46.785      -8.533      -0.305
    6      1      28.389       5.546      21.248       0.000       0.000       0.000      46.650      -8.533      -0.305
    7      1      28.444       5.538      21.211       0.000       0.000       0.000      46.663      -8.531      -0.305
    8      1      28.276       5.535      21.431       0.000       0.000       0.000      46.711      -8.531      -0.305
    9      1      28.177       5.561      21.590       0.000       0.000       0.000      46.803      -8.525      -0.304
   10      1      28.383       5.504      21.382       0.000       0.000       0.000      46.744      -8.525      -0.304
   11      1      28.026       5.530      21.685       0.000       0.000       0.000      46.717      -8.524      -0.304
   12      1      28.256       5.485      21.499       0.000       0.000       0.000      46.715      -8.524      -0.304
   13      1      28.715       5.513      21.031       0.000       0.000       0.000      46.735      -8.524      -0.304
   14      1      28.600       5.532      21.125       0.000       0.000       0.000      46.734      -8.524      -0.304
   15      1      28.756       5.515      21.062       0.000       0.000       0.000      46.827      -8.506      -0.304
   16      1      28.286       5.519      21.381       0.000       0.000       0.000      46.680      -8.506      -0.304
   17      1      28.660       5.531      21.157       0.000       0.000       0.000      46.842      -8.506      -0.304
   18      1      28.366       5.539      21.408       0.000       0.000       0.000      46.808      -8.506      -0.304
   19      1      28.477       5.519      21.266       0.000       0.000       0.000      46.756      -8.506      -0.304
   20      1      28.308       5.603      21.408       0.000       0.000       0.000      46.816      -8.502      -0.304
   21      1      27.591       5.590      22.239       0.000       0.000       0.000      46.923      -8.497      -0.303
   22      1      28.834       5.491      21.014       0.000       0.000       0.000      46.844      -8.496      -0.303
   23      1      28.105       5.515      21.628       0.000       0.000       0.000      46.753      -8.496      -0.303
   24      1      28.201       5.545      21.460       0.000       0.000       0.000      46.710      -8.496      -0.303
   25      1      28.932       5.467      20.906       0.000       0.000       0.000      46.815      -8.489      -0.303
   26      1      28.164       5.508      21.537       0.000       0.000       0.000      46.720      -8.489      -0.303
   27      1      28.195       5.532      21.503       0.000       0.000       0.000      46.752      -8.477      -0.303
   28      1      28.298       5.530      21.418       0.000       0.000       0.000      46.769      -8.477      -0.303
   29      1      28.507       5.492      21.280       0.000       0.000       0.000      46.801      -8.477      -0.303
   30      1      28.037       5.501      21.671       0.000       0.000       0.000      46.736      -8.474      -0.303
   31      1      28.560       5.424      21.282       0.000       0.000       0.000      46.793      -8.473      -0.303
   32      1      28.343       5.515      21.382       0.000       0.000       0.000      46.781      -8.460      -0.302
   33      1      27.862       5.458      22.200       0.000       0.000       0.000      47.074      -8.446      -0.302
   34      1      28.830       5.498      20.976       0.000       0.000       0.000      46.859      -8.445      -0.302
   35      1      27.943       5.439      22.170       0.000       0.000       0.000      47.112      -8.440      -0.301
   36      1      28.168       5.464      21.628       0.000       0.000       0.000      46.821      -8.439      -0.301
   37      1      28.772       5.452      21.103       0.000       0.000       0.000      46.891      -8.436      -0.301
   38      1      28.066       5.446      22.076       0.000       0.000       0.000      47.153      -8.435      -0.301
   39      1      28.474       5.518      21.259       0.000       0.000       0.000      46.819      -8.432      -0.301
   40      1      28.414       5.487      21.275       0.000       0.000       0.000      46.751      -8.425      -0.301
   41      1      27.903       5.459      21.882       0.000       0.000       0.000      46.821      -8.423      -0.301
   42      1      28.509       5.413      21.375       0.000       0.000       0.000      46.874      -8.423      -0.301
   43      1      28.837       5.503      20.949       0.000       0.000       0.000      46.870      -8.420      -0.301
   44      1      27.968       5.386      21.960       0.000       0.000       0.000      46.902      -8.413      -0.300
   45      1      28.438       5.477      21.322       0.000       0.000       0.000      46.831      -8.406      -0.300
   46      1      28.775       5.539      20.951       0.000       0.000       0.000      46.869      -8.396      -0.300
   47      1      28.607       5.492      21.166       0.000       0.000       0.000      46.869      -8.396      -0.300
   48      1      28.437       5.450      21.289       0.000       0.000       0.000      46.786      -8.390      -0.300
   49      1      28.910       5.503      20.929       0.000       0.000       0.000      46.962      -8.381      -0.299
   50      1      28.664       5.520      21.146       0.000       0.000       0.000      46.953      -8.377      -0.299
