  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.277       3.647      15.858       0.000       0.000       0.000      33.303     -10.479      -0.388
    2      1      24.162       3.704      15.974       0.000       0.000       0.000      33.390     -10.451      -0.387
    3      1      24.152       3.549      16.288       0.000       0.000       0.000      33.542     -10.448      -0.387
    4      1      23.763       3.746      16.263       0.000       0.000       0.000      33.331     -10.441      -0.387
    5      1      24.126       3.697      15.860       0.000       0.000       0.000      33.242     -10.441      -0.387
    6      1      24.201       3.706      15.948       0.000       0.000       0.000      33.416     -10.439      -0.387
    7      1      24.277       3.672      15.783       0.000       0.000       0.000      33.295     -10.438      -0.387
    8      1      24.006       3.680      16.176       0.000       0.000       0.000      33.425     -10.437      -0.387
    9      1      24.066       3.660      15.975       0.000       0.000       0.000      33.265     -10.437      -0.387
   10      1      23.844       3.700      16.160       0.000       0.000       0.000      33.268     -10.437      -0.387
   11      1      24.012       3.751      15.940       0.000       0.000       0.000      33.281     -10.423      -0.386
   12      1      23.997       3.691      16.006       0.000       0.000       0.000      33.272     -10.423      -0.386
   13      1      24.038       3.683      15.943       0.000       0.000       0.000      33.243     -10.421      -0.386
   14      1      24.637       3.645      15.547       0.000       0.000       0.000      33.411     -10.419      -0.386
   15      1      24.337       3.699      15.652       0.000       0.000       0.000      33.269     -10.419      -0.386
   16      1      24.209       3.649      15.919       0.000       0.000       0.000      33.375     -10.402      -0.385
   17      1      24.038       3.683      16.112       0.000       0.000       0.000      33.439     -10.394      -0.385
   18      1      24.244       3.695      15.751       0.000       0.000       0.000      33.298     -10.391      -0.385
   19      1      24.133       3.763      16.052       0.000       0.000       0.000      33.557     -10.390      -0.385
   20      1      24.215       3.684      15.825       0.000       0.000       0.000      33.335     -10.390      -0.385
   21      1      24.445       3.652      15.652       0.000       0.000       0.000      33.359     -10.390      -0.385
   22      1      23.980       3.657      16.118       0.000       0.000       0.000      33.366     -10.389      -0.385
   23      1      24.267       3.677      15.749       0.000       0.000       0.000      33.305     -10.388      -0.385
   24      1      24.362       3.685      15.568       0.000       0.000       0.000      33.230     -10.386      -0.385
   25      1      24.334       3.686      15.635       0.000       0.000       0.000      33.269     -10.386      -0.385
   26      1      23.913       3.697      16.085       0.000       0.000       0.000      33.309     -10.386      -0.385
   27      1      24.123       3.659      15.988       0.000       0.000       0.000      33.399     -10.371      -0.384
   28      1      24.067       3.722      16.015       0.000       0.000       0.000      33.435     -10.369      -0.384
   29      1      24.139       3.691      15.848       0.000       0.000       0.000      33.317     -10.361      -0.384
   30      1      24.165       3.637      16.129       0.000       0.000       0.000      33.574     -10.357      -0.384
   31      1      24.169       3.697      15.802       0.000       0.000       0.000      33.314     -10.354      -0.383
   32      1      24.229       3.685      15.780       0.000       0.000       0.000      33.340     -10.354      -0.383
   33      1      24.386       3.680      15.635       0.000       0.000       0.000      33.348     -10.354      -0.383
   34      1      24.557       3.730      15.674       0.000       0.000       0.000      33.612     -10.349      -0.383
   35      1      23.839       3.695      16.186       0.000       0.000       0.000      33.394     -10.327      -0.382
   36      1      24.117       3.709      15.922       0.000       0.000       0.000      33.428     -10.321      -0.382
   37      1      24.060       3.606      16.261       0.000       0.000       0.000      33.626     -10.301      -0.382
   38      1      24.249       3.696      16.005       0.000       0.000       0.000      33.653     -10.296      -0.381
   39      1      24.450       3.629      15.622       0.000       0.000       0.000      33.430     -10.272      -0.380
   40      1      24.658       3.669      15.304       0.000       0.000       0.000      33.390     -10.240      -0.379
   41      1      24.497       3.739      15.406       0.000       0.000       0.000      33.419     -10.223      -0.379
   42      1      24.983       3.557      15.392       0.000       0.000       0.000      33.749     -10.183      -0.377
   43      1      24.096       3.649      16.026       0.000       0.000       0.000      33.602     -10.169      -0.377
   44      1      24.925       3.632      15.253       0.000       0.000       0.000      33.644     -10.167      -0.377
   45      1      23.575       3.813      16.376       0.000       0.000       0.000      33.602     -10.163      -0.376
   46      1      24.056       3.747      15.892       0.000       0.000       0.000      33.541     -10.153      -0.376
   47      1      24.118       3.667      15.846       0.000       0.000       0.000      33.489     -10.142      -0.376
   48      1      24.293       3.719      15.647       0.000       0.000       0.000      33.528     -10.132      -0.375
   49      1      24.123       3.677      15.783       0.000       0.000       0.000      33.458     -10.125      -0.375
   50      1      23.318       3.749      16.709       0.000       0.000       0.000      33.673     -10.102      -0.374
