  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      22.385       5.667      17.832       0.000       0.000       0.000      37.162      -8.723      -0.323
    2      1      23.815       3.697      15.129       0.000       0.000       0.000      34.163      -8.478      -0.314
    3      1      23.731       3.610      15.320       0.000       0.000       0.000      34.259      -8.402      -0.311
    4      1      22.922       3.838      15.931       0.000       0.000       0.000      34.295      -8.397      -0.311
    5      1      23.410       3.873      15.454       0.000       0.000       0.000      34.349      -8.388      -0.311
    6      1      24.345       3.636      14.522       0.000       0.000       0.000      34.150      -8.354      -0.309
    7      1      23.918       3.665      14.891       0.000       0.000       0.000      34.121      -8.354      -0.309
    8      1      24.375       3.580      14.751       0.000       0.000       0.000      34.353      -8.353      -0.309
    9      1      23.606       3.582      15.557       0.000       0.000       0.000      34.402      -8.344      -0.309
   10      1      23.567       3.568      15.628       0.000       0.000       0.000      34.419      -8.344      -0.309
   11      1      24.121       3.662      14.749       0.000       0.000       0.000      34.189      -8.344      -0.309
   12      1      23.608       3.620      15.410       0.000       0.000       0.000      34.303      -8.335      -0.309
   13      1      23.613       3.673      15.351       0.000       0.000       0.000      34.311      -8.326      -0.308
   14      1      23.921       3.659      14.912       0.000       0.000       0.000      34.173      -8.319      -0.308
   15      1      24.502       3.613      14.454       0.000       0.000       0.000      34.251      -8.319      -0.308
   16      1      23.930       3.717      14.864       0.000       0.000       0.000      34.195      -8.316      -0.308
   17      1      23.833       3.663      14.983       0.000       0.000       0.000      34.163      -8.316      -0.308
   18      1      24.008       3.622      14.978       0.000       0.000       0.000      34.296      -8.312      -0.308
   19      1      23.802       3.610      15.386       0.000       0.000       0.000      34.501      -8.297      -0.307
   20      1      24.128       3.691      14.613       0.000       0.000       0.000      34.143      -8.288      -0.307
   21      1      23.519       3.714      15.007       0.000       0.000       0.000      33.968      -8.273      -0.306
   22      1      24.272       3.611      14.761       0.000       0.000       0.000      34.379      -8.264      -0.306
   23      1      23.550       3.739      15.136       0.000       0.000       0.000      34.161      -8.264      -0.306
   24      1      23.275       3.763      15.445       0.000       0.000       0.000      34.229      -8.255      -0.306
   25      1      23.611       3.662      15.195       0.000       0.000       0.000      34.229      -8.239      -0.305
   26      1      23.556       3.786      15.087       0.000       0.000       0.000      34.194      -8.235      -0.305
   27      1      23.944       4.014      15.180       0.000       0.000       0.000      34.913      -8.226      -0.305
   28      1      24.498       3.588      14.584       0.000       0.000       0.000      34.445      -8.225      -0.305
   29      1      23.511       3.756      15.114       0.000       0.000       0.000      34.159      -8.223      -0.305
   30      1      24.148       3.942      14.959       0.000       0.000       0.000      34.830      -8.218      -0.304
   31      1      23.458       3.736      15.152       0.000       0.000       0.000      34.159      -8.187      -0.303
   32      1      23.633       3.639      15.082       0.000       0.000       0.000      34.173      -8.181      -0.303
   33      1      24.009       3.621      15.003       0.000       0.000       0.000      34.469      -8.165      -0.302
   34      1      23.717       3.655      14.983       0.000       0.000       0.000      34.199      -8.155      -0.302
   35      1      24.015       3.697      14.782       0.000       0.000       0.000      34.345      -8.149      -0.302
   36      1      23.497       3.720      15.124       0.000       0.000       0.000      34.196      -8.145      -0.302
   37      1      23.940       3.686      14.630       0.000       0.000       0.000      34.123      -8.134      -0.301
   38      1      23.864       3.684      14.644       0.000       0.000       0.000      34.059      -8.134      -0.301
   39      1      23.951       3.672      14.628       0.000       0.000       0.000      34.117      -8.134      -0.301
   40      1      23.762       3.643      15.062       0.000       0.000       0.000      34.336      -8.131      -0.301
   41      1      23.651       3.721      14.934       0.000       0.000       0.000      34.181      -8.126      -0.301
   42      1      23.988       3.675      14.526       0.000       0.000       0.000      34.064      -8.125      -0.301
   43      1      24.007       3.699      14.494       0.000       0.000       0.000      34.077      -8.122      -0.301
   44      1      24.193       3.704      14.642       0.000       0.000       0.000      34.418      -8.121      -0.301
   45      1      24.026       3.646      14.855       0.000       0.000       0.000      34.407      -8.120      -0.301
   46      1      24.415       3.650      14.456       0.000       0.000       0.000      34.409      -8.112      -0.300
   47      1      24.251       3.653      14.586       0.000       0.000       0.000      34.391      -8.098      -0.300
   48      1      24.232       3.759      14.509       0.000       0.000       0.000      34.406      -8.094      -0.300
   49      1      24.080       3.639      14.566       0.000       0.000       0.000      34.193      -8.093      -0.300
   50      1      23.815       3.894      15.034       0.000       0.000       0.000      34.656      -8.087      -0.300
