  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.733       3.670      14.616       0.000       0.000       0.000      33.643     -10.375      -0.384
    2      1      25.019       3.434      15.515       0.000       0.000       0.000      33.670     -10.298      -0.381
    3      1      24.359       3.480      15.893       0.000       0.000       0.000      33.440     -10.291      -0.381
    4      1      24.913       3.609      15.579       0.000       0.000       0.000      33.825     -10.276      -0.381
    5      1      24.724       3.466      15.618       0.000       0.000       0.000      33.541     -10.266      -0.380
    6      1      24.193       3.467      16.060       0.000       0.000       0.000      33.459     -10.261      -0.380
    7      1      24.552       3.543      15.706       0.000       0.000       0.000      33.570     -10.231      -0.379
    8      1      24.769       3.579      15.390       0.000       0.000       0.000      33.508     -10.231      -0.379
    9      1      24.490       3.522      15.612       0.000       0.000       0.000      33.407     -10.217      -0.378
   10      1      24.593       3.523      15.678       0.000       0.000       0.000      33.584     -10.211      -0.378
   11      1      24.250       3.564      16.083       0.000       0.000       0.000      33.703     -10.195      -0.378
   12      1      24.419       3.581      15.602       0.000       0.000       0.000      33.420     -10.182      -0.377
   13      1      24.266       3.564      15.839       0.000       0.000       0.000      33.487     -10.182      -0.377
   14      1      24.362       3.485      16.005       0.000       0.000       0.000      33.671     -10.181      -0.377
   15      1      24.878       3.428      15.613       0.000       0.000       0.000      33.745     -10.173      -0.377
   16      1      24.364       3.547      15.718       0.000       0.000       0.000      33.465     -10.164      -0.376
   17      1      24.626       3.534      15.638       0.000       0.000       0.000      33.636     -10.163      -0.376
   18      1      24.609       3.521      15.676       0.000       0.000       0.000      33.645     -10.161      -0.376
   19      1      24.532       3.554      15.603       0.000       0.000       0.000      33.533     -10.156      -0.376
   20      1      24.665       3.585      15.463       0.000       0.000       0.000      33.559     -10.154      -0.376
   21      1      24.280       3.492      16.040       0.000       0.000       0.000      33.659     -10.153      -0.376
   22      1      24.491       3.596      15.502       0.000       0.000       0.000      33.438     -10.151      -0.376
   23      1      24.859       3.595      15.272       0.000       0.000       0.000      33.582     -10.143      -0.376
   24      1      24.438       3.514      15.749       0.000       0.000       0.000      33.560     -10.141      -0.376
   25      1      24.653       3.670      15.430       0.000       0.000       0.000      33.615     -10.138      -0.375
   26      1      24.559       3.560      15.485       0.000       0.000       0.000      33.481     -10.124      -0.375
   27      1      24.805       3.563      15.235       0.000       0.000       0.000      33.481     -10.121      -0.375
   28      1      24.269       3.537      15.869       0.000       0.000       0.000      33.559     -10.116      -0.375
   29      1      24.624       3.599      15.546       0.000       0.000       0.000      33.659     -10.110      -0.374
   30      1      24.965       3.537      15.279       0.000       0.000       0.000      33.673     -10.109      -0.374
   31      1      24.329       3.509      15.864       0.000       0.000       0.000      33.596     -10.106      -0.374
   32      1      24.263       3.463      16.032       0.000       0.000       0.000      33.654     -10.105      -0.374
   33      1      24.236       3.518      15.930       0.000       0.000       0.000      33.581     -10.103      -0.374
   34      1      24.627       3.573      15.380       0.000       0.000       0.000      33.479     -10.100      -0.374
   35      1      24.529       3.610      15.471       0.000       0.000       0.000      33.514     -10.097      -0.374
   36      1      24.773       3.596      15.258       0.000       0.000       0.000      33.530     -10.097      -0.374
   37      1      24.862       3.638      15.123       0.000       0.000       0.000      33.532     -10.091      -0.374
   38      1      23.921       3.515      16.547       0.000       0.000       0.000      33.894     -10.089      -0.374
   39      1      24.960       3.579      15.156       0.000       0.000       0.000      33.609     -10.087      -0.374
   40      1      24.396       3.583      15.659       0.000       0.000       0.000      33.555     -10.083      -0.373
   41      1      24.097       3.616      16.328       0.000       0.000       0.000      33.963     -10.078      -0.373
   42      1      24.495       3.658      15.534       0.000       0.000       0.000      33.612     -10.074      -0.373
   43      1      24.670       3.512      15.557       0.000       0.000       0.000      33.668     -10.071      -0.373
   44      1      24.589       3.599      15.546       0.000       0.000       0.000      33.667     -10.067      -0.373
   45      1      24.689       3.586      15.476       0.000       0.000       0.000      33.685     -10.066      -0.373
   46      1      24.721       3.520      15.385       0.000       0.000       0.000      33.569     -10.057      -0.372
   47      1      24.626       3.548      15.465       0.000       0.000       0.000      33.592     -10.048      -0.372
   48      1      24.184       3.539      15.872       0.000       0.000       0.000      33.560     -10.035      -0.372
   49      1      24.866       3.638      15.185       0.000       0.000       0.000      33.655     -10.035      -0.372
   50      1      24.202       3.471      16.087       0.000       0.000       0.000      33.725     -10.034      -0.372
