  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.791       4.052      14.542       0.000       0.000       0.000      32.738     -10.646      -0.394
    2      1      24.649       4.068      14.662       0.000       0.000       0.000      32.733     -10.646      -0.394
    3      1      24.455       4.097      14.847       0.000       0.000       0.000      32.753     -10.646      -0.394
    4      1      24.809       4.084      14.526       0.000       0.000       0.000      32.777     -10.641      -0.394
    5      1      24.588       4.097      14.669       0.000       0.000       0.000      32.713     -10.641      -0.394
    6      1      24.439       4.106      14.777       0.000       0.000       0.000      32.681     -10.641      -0.394
    7      1      24.667       4.122      14.555       0.000       0.000       0.000      32.749     -10.595      -0.392
    8      1      24.519       4.089      14.786       0.000       0.000       0.000      32.808     -10.585      -0.392
    9      1      25.042       4.058      14.335       0.000       0.000       0.000      32.850     -10.585      -0.392
   10      1      24.325       4.130      14.962       0.000       0.000       0.000      32.831     -10.585      -0.392
   11      1      24.720       4.081      14.602       0.000       0.000       0.000      32.818     -10.585      -0.392
   12      1      24.579       4.107      14.731       0.000       0.000       0.000      32.838     -10.580      -0.392
   13      1      24.153       4.175      15.195       0.000       0.000       0.000      32.951     -10.572      -0.392
   14      1      24.104       4.138      15.132       0.000       0.000       0.000      32.803     -10.572      -0.392
   15      1      24.438       4.126      14.858       0.000       0.000       0.000      32.859     -10.563      -0.391
   16      1      24.704       4.091      14.601       0.000       0.000       0.000      32.847     -10.549      -0.391
   17      1      24.532       4.079      14.713       0.000       0.000       0.000      32.774     -10.549      -0.391
   18      1      24.341       4.122      14.856       0.000       0.000       0.000      32.823     -10.498      -0.389
   19      1      24.598       4.062      14.605       0.000       0.000       0.000      32.778     -10.488      -0.388
   20      1      24.410       4.098      14.915       0.000       0.000       0.000      32.955     -10.467      -0.388
   21      1      24.552       4.098      14.696       0.000       0.000       0.000      32.934     -10.412      -0.386
   22      1      24.465       4.209      14.966       0.000       0.000       0.000      33.263     -10.376      -0.384
   23      1      24.824       4.037      14.495       0.000       0.000       0.000      32.983     -10.373      -0.384
   24      1      24.814       4.029      14.453       0.000       0.000       0.000      32.924     -10.373      -0.384
   25      1      24.572       4.060      14.726       0.000       0.000       0.000      32.985     -10.373      -0.384
   26      1      24.749       4.042      14.546       0.000       0.000       0.000      32.963     -10.373      -0.384
   27      1      24.632       4.065      14.587       0.000       0.000       0.000      32.912     -10.373      -0.384
   28      1      24.799       4.044      14.495       0.000       0.000       0.000      32.965     -10.373      -0.384
   29      1      24.741       4.043      14.508       0.000       0.000       0.000      32.920     -10.372      -0.384
   30      1      24.763       4.052      14.545       0.000       0.000       0.000      33.002     -10.359      -0.384
   31      1      24.467       4.072      14.789       0.000       0.000       0.000      32.968     -10.359      -0.384
   32      1      24.675       4.038      14.575       0.000       0.000       0.000      32.943     -10.344      -0.383
   33      1      24.678       4.067      14.652       0.000       0.000       0.000      33.059     -10.338      -0.383
   34      1      24.710       4.046      14.594       0.000       0.000       0.000      33.011     -10.338      -0.383
   35      1      24.784       4.011      14.482       0.000       0.000       0.000      32.972     -10.305      -0.382
   36      1      24.787       4.007      14.517       0.000       0.000       0.000      33.006     -10.305      -0.382
   37      1      24.483       4.076      14.776       0.000       0.000       0.000      33.031     -10.303      -0.382
   38      1      25.209       5.587      15.452       0.000       0.000       0.000      35.961     -10.287      -0.381
   39      1      24.640       4.066      14.632       0.000       0.000       0.000      33.052     -10.287      -0.381
   40      1      24.190       4.051      15.064       0.000       0.000       0.000      33.061     -10.245      -0.379
   41      1      23.699       4.234      15.391       0.000       0.000       0.000      33.125     -10.199      -0.378
   42      1      23.845       4.182      15.305       0.000       0.000       0.000      33.145     -10.187      -0.377
   43      1      24.707       4.038      14.520       0.000       0.000       0.000      33.083     -10.182      -0.377
   44      1      24.679       4.039      14.595       0.000       0.000       0.000      33.161     -10.153      -0.376
   45      1      24.524       4.040      14.727       0.000       0.000       0.000      33.199     -10.093      -0.374
   46      1      23.312       4.257      15.833       0.000       0.000       0.000      33.318     -10.084      -0.373
   47      1      23.751       4.298      15.396       0.000       0.000       0.000      33.374     -10.070      -0.373
   48      1      24.414       4.016      15.028       0.000       0.000       0.000      33.398     -10.059      -0.373
   49      1      24.922       3.943      14.564       0.000       0.000       0.000      33.418     -10.011      -0.371
   50      1      24.673       4.037      14.525       0.000       0.000       0.000      33.247      -9.988      -0.370
