  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      29.511       5.252      17.290       0.000       0.000       0.000      43.386      -8.668      -0.299
    2      1      29.663       5.387      16.651       0.000       0.000       0.000      43.092      -8.609      -0.297
    3      1      29.805       5.351      16.516       0.000       0.000       0.000      43.132      -8.539      -0.294
    4      1      29.578       4.933      15.909       0.000       0.000       0.000      41.976      -8.444      -0.291
    5      1      29.852       5.416      16.413       0.000       0.000       0.000      43.385      -8.296      -0.286
    6      1      29.896       5.474      16.347       0.000       0.000       0.000      43.421      -8.295      -0.286
    7      1      29.607       5.324      16.845       0.000       0.000       0.000      43.525      -8.251      -0.285
    8      1      28.197       6.775      19.783       0.000       0.000       0.000      46.525      -8.230      -0.284
    9      1      31.325       5.054      15.587       0.000       0.000       0.000      43.761      -8.204      -0.283
   10      1      28.980       5.466      17.622       0.000       0.000       0.000      43.873      -8.196      -0.283
   11      1      29.204       4.900      16.089       0.000       0.000       0.000      42.007      -8.186      -0.282
   12      1      30.815       5.042      15.989       0.000       0.000       0.000      43.688      -8.158      -0.281
   13      1      29.267       4.838      16.073       0.000       0.000       0.000      42.028      -8.150      -0.281
   14      1      28.654       4.907      16.492       0.000       0.000       0.000      41.928      -8.126      -0.280
   15      1      28.850       4.906      16.332       0.000       0.000       0.000      41.980      -8.108      -0.280
   16      1      28.796       4.841      16.567       0.000       0.000       0.000      42.098      -8.107      -0.280
   17      1      28.659       4.904      16.485       0.000       0.000       0.000      41.947      -8.101      -0.279
   18      1      29.092       4.859      16.218       0.000       0.000       0.000      42.076      -8.093      -0.279
   19      1      30.883       5.086      15.945       0.000       0.000       0.000      43.864      -8.051      -0.278
   20      1      29.630       4.955      17.443       0.000       0.000       0.000      43.991      -8.037      -0.277
   21      1      28.664       4.892      16.589       0.000       0.000       0.000      42.127      -8.018      -0.276
   22      1      29.227       7.425      20.000       0.000       0.000       0.000      48.642      -8.011      -0.276
   23      1      28.839       4.859      16.338       0.000       0.000       0.000      42.033      -8.003      -0.276
   24      1      28.955       4.829      16.315       0.000       0.000       0.000      42.108      -7.991      -0.276
   25      1      28.658       4.930      16.480       0.000       0.000       0.000      42.105      -7.962      -0.275
   26      1      27.462       4.833      18.186       0.000       0.000       0.000      42.526      -7.955      -0.274
   27      1      28.687       4.893      16.434       0.000       0.000       0.000      42.060      -7.954      -0.274
   28      1      28.458       4.881      16.668       0.000       0.000       0.000      42.055      -7.952      -0.274
   29      1      27.752       4.889      17.811       0.000       0.000       0.000      42.503      -7.949      -0.274
   30      1      27.876       4.896      17.806       0.000       0.000       0.000      42.630      -7.947      -0.274
   31      1      28.883       4.802      16.431       0.000       0.000       0.000      42.170      -7.945      -0.274
   32      1      28.511       4.853      16.643       0.000       0.000       0.000      42.067      -7.941      -0.274
   33      1      28.911       4.836      16.380       0.000       0.000       0.000      42.186      -7.941      -0.274
   34      1      29.028       4.770      16.554       0.000       0.000       0.000      42.411      -7.941      -0.274
   35      1      29.163       4.860      16.069       0.000       0.000       0.000      42.154      -7.938      -0.274
   36      1      29.682       5.367      16.618       0.000       0.000       0.000      43.740      -7.928      -0.273
   37      1      28.657       5.228      18.337       0.000       0.000       0.000      44.297      -7.926      -0.273
   38      1      31.026       5.055      15.777       0.000       0.000       0.000      43.950      -7.909      -0.273
   39      1      28.950       4.830      16.346       0.000       0.000       0.000      42.219      -7.907      -0.273
   40      1      28.415       4.910      16.751       0.000       0.000       0.000      42.168      -7.907      -0.273
   41      1      29.830       5.469      16.433       0.000       0.000       0.000      43.837      -7.896      -0.272
   42      1      27.895       4.825      17.748       0.000       0.000       0.000      42.573      -7.895      -0.272
   43      1      27.640       4.819      18.008       0.000       0.000       0.000      42.577      -7.891      -0.272
   44      1      28.965       4.864      16.261       0.000       0.000       0.000      42.201      -7.889      -0.272
   45      1      28.836       5.413      17.729       0.000       0.000       0.000      44.092      -7.886      -0.272
   46      1      28.941       4.884      16.289       0.000       0.000       0.000      42.239      -7.874      -0.272
   47      1      28.225       4.916      17.409       0.000       0.000       0.000      42.700      -7.850      -0.271
   48      1      28.611       4.878      16.581       0.000       0.000       0.000      42.236      -7.834      -0.270
   49      1      28.473       4.868      16.769       0.000       0.000       0.000      42.275      -7.834      -0.270
   50      1      28.887       4.868      16.269       0.000       0.000       0.000      42.191      -7.833      -0.270
