  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      22.304       3.847      17.944       0.000       0.000       0.000      33.677     -10.418      -0.372
    2      1      24.138       3.657      16.366       0.000       0.000       0.000      33.837     -10.324      -0.369
    3      1      24.371       3.686      15.812       0.000       0.000       0.000      33.594     -10.275      -0.367
    4      1      24.460       3.619      15.887       0.000       0.000       0.000      33.691     -10.275      -0.367
    5      1      24.129       3.581      16.307       0.000       0.000       0.000      33.741     -10.275      -0.367
    6      1      24.827       3.633      15.705       0.000       0.000       0.000      33.913     -10.253      -0.366
    7      1      24.094       3.699      16.231       0.000       0.000       0.000      33.779     -10.245      -0.366
    8      1      24.524       3.598      15.803       0.000       0.000       0.000      33.683     -10.243      -0.366
    9      1      24.410       3.678      15.820       0.000       0.000       0.000      33.666     -10.242      -0.366
   10      1      24.232       3.665      15.962       0.000       0.000       0.000      33.650     -10.210      -0.365
   11      1      24.432       3.587      15.872       0.000       0.000       0.000      33.681     -10.210      -0.365
   12      1      24.038       3.638      16.398       0.000       0.000       0.000      33.874     -10.200      -0.364
   13      1      24.375       3.655      15.943       0.000       0.000       0.000      33.781     -10.192      -0.364
   14      1      24.305       3.670      15.848       0.000       0.000       0.000      33.631     -10.191      -0.364
   15      1      24.596       3.656      15.693       0.000       0.000       0.000      33.771     -10.174      -0.363
   16      1      24.136       3.637      16.415       0.000       0.000       0.000      34.029     -10.159      -0.363
   17      1      24.342       3.505      15.638       0.000       0.000       0.000      33.339     -10.145      -0.362
   18      1      24.384       3.645      15.774       0.000       0.000       0.000      33.671     -10.133      -0.362
   19      1      22.880       3.696      17.282       0.000       0.000       0.000      33.736     -10.123      -0.362
   20      1      24.304       3.677      15.934       0.000       0.000       0.000      33.812     -10.103      -0.361
   21      1      24.251       3.655      16.105       0.000       0.000       0.000      33.922     -10.090      -0.360
   22      1      24.307       3.646      16.012       0.000       0.000       0.000      33.898     -10.068      -0.360
   23      1      22.767       4.787      17.737       0.000       0.000       0.000      35.240     -10.050      -0.359
   24      1      23.941       3.865      16.122       0.000       0.000       0.000      33.894     -10.035      -0.358
   25      1      24.709       3.699      15.678       0.000       0.000       0.000      34.074     -10.011      -0.358
   26      1      24.731       3.596      15.518       0.000       0.000       0.000      33.859      -9.986      -0.357
   27      1      24.734       3.626      15.388       0.000       0.000       0.000      33.814      -9.933      -0.355
   28      1      23.323       3.608      16.571       0.000       0.000       0.000      33.572      -9.929      -0.355
   29      1      24.699       3.719      15.490       0.000       0.000       0.000      33.993      -9.915      -0.354
   30      1      24.152       3.712      16.410       0.000       0.000       0.000      34.365      -9.909      -0.354
   31      1      24.985       3.549      15.339       0.000       0.000       0.000      33.990      -9.883      -0.353
   32      1      24.629       3.572      15.662       0.000       0.000       0.000      33.995      -9.869      -0.352
   33      1      23.816       3.763      16.233       0.000       0.000       0.000      33.946      -9.866      -0.352
   34      1      24.559       3.615      15.597       0.000       0.000       0.000      33.918      -9.853      -0.352
   35      1      23.968       3.669      16.146       0.000       0.000       0.000      33.942      -9.841      -0.351
   36      1      25.024       3.636      15.216       0.000       0.000       0.000      34.045      -9.832      -0.351
   37      1      24.169       3.705      16.051       0.000       0.000       0.000      34.103      -9.822      -0.351
   38      1      23.503       3.521      16.231       0.000       0.000       0.000      33.465      -9.790      -0.350
   39      1      23.949       3.776      16.152       0.000       0.000       0.000      34.089      -9.789      -0.350
   40      1      25.012       3.745      15.140       0.000       0.000       0.000      34.149      -9.748      -0.348
   41      1      24.408       3.629      15.941       0.000       0.000       0.000      34.236      -9.742      -0.348
   42      1      23.678       3.702      16.072       0.000       0.000       0.000      33.728      -9.724      -0.347
   43      1      24.215       3.716      15.778       0.000       0.000       0.000      33.998      -9.710      -0.347
   44      1      24.922       3.754      15.169       0.000       0.000       0.000      34.145      -9.701      -0.346
   45      1      24.412       3.667      15.890       0.000       0.000       0.000      34.271      -9.697      -0.346
   46      1      24.941       3.784      15.237       0.000       0.000       0.000      34.265      -9.696      -0.346
   47      1      24.658       3.778      15.294       0.000       0.000       0.000      34.038      -9.691      -0.346
   48      1      23.368       3.649      16.244       0.000       0.000       0.000      33.570      -9.691      -0.346
   49      1      24.706       3.810      15.263       0.000       0.000       0.000      34.097      -9.681      -0.346
   50      1      24.802       3.619      15.347       0.000       0.000       0.000      34.088      -9.680      -0.346
