  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.124       3.891      15.235       0.000       0.000       0.000      31.627     -10.623      -0.379
    2      1      22.729       3.837      15.744       0.000       0.000       0.000      31.742     -10.568      -0.377
    3      1      23.508       4.050      14.937       0.000       0.000       0.000      31.946     -10.549      -0.377
    4      1      22.733       3.823      15.809       0.000       0.000       0.000      31.859     -10.506      -0.375
    5      1      23.100       3.955      15.220       0.000       0.000       0.000      31.777     -10.498      -0.375
    6      1      22.667       3.955      15.646       0.000       0.000       0.000      31.770     -10.498      -0.375
    7      1      23.111       3.871      15.406       0.000       0.000       0.000      31.891     -10.498      -0.375
    8      1      22.643       3.949      15.640       0.000       0.000       0.000      31.739     -10.493      -0.375
    9      1      23.112       3.892      15.392       0.000       0.000       0.000      31.904     -10.492      -0.375
   10      1      22.829       3.859      15.590       0.000       0.000       0.000      31.787     -10.492      -0.375
   11      1      22.280       3.896      16.259       0.000       0.000       0.000      31.943     -10.491      -0.375
   12      1      22.575       3.846      15.885       0.000       0.000       0.000      31.827     -10.479      -0.374
   13      1      22.711       3.896      15.695       0.000       0.000       0.000      31.825     -10.477      -0.374
   14      1      22.827       3.933      15.428       0.000       0.000       0.000      31.720     -10.469      -0.374
   15      1      22.335       3.884      16.189       0.000       0.000       0.000      31.947     -10.461      -0.374
   16      1      22.746       3.879      15.570       0.000       0.000       0.000      31.752     -10.443      -0.373
   17      1      22.643       3.900      15.661       0.000       0.000       0.000      31.762     -10.443      -0.373
   18      1      22.812       3.885      15.662       0.000       0.000       0.000      31.932     -10.428      -0.372
   19      1      22.370       3.901      16.048       0.000       0.000       0.000      31.901     -10.418      -0.372
   20      1      22.473       3.893      15.921       0.000       0.000       0.000      31.869     -10.417      -0.372
   21      1      22.899       3.903      15.545       0.000       0.000       0.000      31.934     -10.414      -0.372
   22      1      22.614       3.911      15.738       0.000       0.000       0.000      31.850     -10.414      -0.372
   23      1      22.823       3.955      15.501       0.000       0.000       0.000      31.866     -10.414      -0.372
   24      1      22.861       3.910      15.536       0.000       0.000       0.000      31.914     -10.393      -0.371
   25      1      23.027       4.033      15.338       0.000       0.000       0.000      32.006     -10.392      -0.371
   26      1      22.773       3.931      15.677       0.000       0.000       0.000      31.991     -10.389      -0.371
   27      1      23.410       3.951      15.348       0.000       0.000       0.000      32.321     -10.389      -0.371
   28      1      22.891       3.927      15.615       0.000       0.000       0.000      32.046     -10.387      -0.371
   29      1      22.627       3.824      16.017       0.000       0.000       0.000      32.090     -10.378      -0.371
   30      1      22.399       3.868      16.256       0.000       0.000       0.000      32.150     -10.373      -0.370
   31      1      22.930       3.943      15.440       0.000       0.000       0.000      31.944     -10.368      -0.370
   32      1      22.786       3.971      15.670       0.000       0.000       0.000      32.066     -10.361      -0.370
   33      1      22.872       3.891      15.663       0.000       0.000       0.000      32.068     -10.358      -0.370
   34      1      22.974       3.999      15.538       0.000       0.000       0.000      32.154     -10.358      -0.370
   35      1      22.853       3.985      15.373       0.000       0.000       0.000      31.855     -10.355      -0.370
   36      1      22.584       3.834      15.942       0.000       0.000       0.000      32.006     -10.353      -0.370
   37      1      22.705       3.862      15.690       0.000       0.000       0.000      31.905     -10.351      -0.370
   38      1      22.804       3.868      15.844       0.000       0.000       0.000      32.166     -10.351      -0.370
   39      1      22.542       3.885      15.882       0.000       0.000       0.000      31.964     -10.345      -0.369
   40      1      22.672       3.939      15.875       0.000       0.000       0.000      32.143     -10.343      -0.369
   41      1      22.529       3.927      16.014       0.000       0.000       0.000      32.126     -10.343      -0.369
   42      1      22.764       3.935      15.744       0.000       0.000       0.000      32.104     -10.339      -0.369
   43      1      22.506       3.879      16.051       0.000       0.000       0.000      32.098     -10.338      -0.369
   44      1      23.061       3.963      15.297       0.000       0.000       0.000      31.989     -10.333      -0.369
   45      1      23.169       3.922      15.276       0.000       0.000       0.000      32.039     -10.328      -0.369
   46      1      22.701       3.969      15.602       0.000       0.000       0.000      31.953     -10.320      -0.369
   47      1      22.841       3.897      15.597       0.000       0.000       0.000      32.022     -10.314      -0.368
   48      1      22.679       3.838      16.021       0.000       0.000       0.000      32.225     -10.313      -0.368
   49      1      23.037       3.941      15.317       0.000       0.000       0.000      31.984     -10.311      -0.368
   50      1      22.815       4.060      15.583       0.000       0.000       0.000      32.150     -10.308      -0.368
