  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.933       4.478      17.123       0.000       0.000       0.000      38.146      -8.389      -0.300
    2      1      26.726       4.300      15.635       0.000       0.000       0.000      38.631      -8.030      -0.287
    3      1      24.489       4.603      16.847       0.000       0.000       0.000      37.999      -7.939      -0.284
    4      1      25.957       4.246      16.099       0.000       0.000       0.000      38.421      -7.881      -0.281
    5      1      25.609       4.139      16.223       0.000       0.000       0.000      38.089      -7.881      -0.281
    6      1      24.818       4.479      16.489       0.000       0.000       0.000      37.906      -7.879      -0.281
    7      1      25.072       4.395      16.860       0.000       0.000       0.000      38.453      -7.875      -0.281
    8      1      24.612       4.508      16.706       0.000       0.000       0.000      37.969      -7.857      -0.281
    9      1      24.165       5.348      20.218       0.000       0.000       0.000      41.893      -7.838      -0.280
   10      1      25.331       4.414      16.682       0.000       0.000       0.000      38.592      -7.835      -0.280
   11      1      26.458       4.215      15.417       0.000       0.000       0.000      38.268      -7.821      -0.279
   12      1      25.813       4.555      16.433       0.000       0.000       0.000      38.982      -7.819      -0.279
   13      1      25.346       4.416      16.655       0.000       0.000       0.000      38.604      -7.813      -0.279
   14      1      24.865       4.142      17.098       0.000       0.000       0.000      38.300      -7.806      -0.279
   15      1      25.950       4.325      15.981       0.000       0.000       0.000      38.458      -7.799      -0.279
   16      1      26.340       4.263      15.419       0.000       0.000       0.000      38.227      -7.795      -0.278
   17      1      23.963       4.644      17.136       0.000       0.000       0.000      37.950      -7.793      -0.278
   18      1      25.592       4.178      15.997       0.000       0.000       0.000      37.989      -7.778      -0.278
   19      1      25.304       4.478      16.454       0.000       0.000       0.000      38.471      -7.766      -0.277
   20      1      24.993       4.489      16.315       0.000       0.000       0.000      38.035      -7.762      -0.277
   21      1      24.765       4.532      16.419       0.000       0.000       0.000      37.956      -7.760      -0.277
   22      1      26.416       4.179      15.303       0.000       0.000       0.000      38.139      -7.759      -0.277
   23      1      26.232       4.398      15.812       0.000       0.000       0.000      38.690      -7.751      -0.277
   24      1      26.543       4.238      15.406       0.000       0.000       0.000      38.436      -7.751      -0.277
   25      1      25.980       4.328      15.740       0.000       0.000       0.000      38.299      -7.750      -0.277
   26      1      23.840       4.585      17.989       0.000       0.000       0.000      38.676      -7.738      -0.276
   27      1      25.799       4.168      15.716       0.000       0.000       0.000      37.956      -7.727      -0.276
   28      1      25.237       4.445      16.115       0.000       0.000       0.000      38.070      -7.726      -0.276
   29      1      26.001       4.248      15.694       0.000       0.000       0.000      38.235      -7.709      -0.275
   30      1      25.410       4.514      15.903       0.000       0.000       0.000      38.124      -7.703      -0.275
   31      1      25.497       4.428      16.583       0.000       0.000       0.000      38.815      -7.693      -0.275
   32      1      26.434       4.224      15.358       0.000       0.000       0.000      38.351      -7.665      -0.274
   33      1      25.096       4.535      16.185       0.000       0.000       0.000      38.152      -7.664      -0.274
   34      1      25.479       4.182      16.183       0.000       0.000       0.000      38.183      -7.660      -0.274
   35      1      24.002       4.668      17.118       0.000       0.000       0.000      38.131      -7.657      -0.273
   36      1      25.209       4.409      16.891       0.000       0.000       0.000      38.861      -7.649      -0.273
   37      1      25.953       4.247      15.814       0.000       0.000       0.000      38.365      -7.648      -0.273
   38      1      25.744       4.364      16.286       0.000       0.000       0.000      38.750      -7.644      -0.273
   39      1      25.143       4.512      16.114       0.000       0.000       0.000      38.131      -7.638      -0.273
   40      1      25.646       4.391      16.234       0.000       0.000       0.000      38.640      -7.631      -0.273
   41      1      25.907       4.229      15.645       0.000       0.000       0.000      38.153      -7.629      -0.272
   42      1      25.349       4.425      16.478       0.000       0.000       0.000      38.625      -7.627      -0.272
   43      1      25.726       4.342      16.235       0.000       0.000       0.000      38.683      -7.620      -0.272
   44      1      26.284       4.158      15.439       0.000       0.000       0.000      38.262      -7.619      -0.272
   45      1      25.278       4.526      15.990       0.000       0.000       0.000      38.176      -7.619      -0.272
   46      1      25.925       4.219      15.632       0.000       0.000       0.000      38.164      -7.612      -0.272
   47      1      26.147       4.210      15.475       0.000       0.000       0.000      38.220      -7.612      -0.272
   48      1      25.873       4.242      15.664       0.000       0.000       0.000      38.167      -7.612      -0.272
   49      1      25.352       4.425      16.459       0.000       0.000       0.000      38.626      -7.610      -0.272
   50      1      26.122       4.177      15.520       0.000       0.000       0.000      38.208      -7.610      -0.272
