  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      29.539       5.303      17.136       0.000       0.000       0.000      43.286      -8.692      -0.300
    2      1      29.347       5.476      16.927       0.000       0.000       0.000      43.332      -8.418      -0.290
    3      1      29.737       5.374      16.676       0.000       0.000       0.000      43.377      -8.411      -0.290
    4      1      29.618       5.333      16.765       0.000       0.000       0.000      43.369      -8.347      -0.288
    5      1      28.997       4.950      16.292       0.000       0.000       0.000      41.910      -8.329      -0.287
    6      1      29.564       5.309      16.829       0.000       0.000       0.000      43.407      -8.295      -0.286
    7      1      29.706       5.213      16.735       0.000       0.000       0.000      43.374      -8.280      -0.286
    8      1      29.698       5.264      16.728       0.000       0.000       0.000      43.412      -8.278      -0.285
    9      1      28.964       4.867      16.233       0.000       0.000       0.000      41.822      -8.242      -0.284
   10      1      29.362       5.460      17.354       0.000       0.000       0.000      43.956      -8.220      -0.283
   11      1      29.348       5.475      16.928       0.000       0.000       0.000      43.545      -8.206      -0.283
   12      1      29.065       4.927      16.139       0.000       0.000       0.000      41.940      -8.191      -0.282
   13      1      28.825       4.982      16.492       0.000       0.000       0.000      42.131      -8.168      -0.282
   14      1      28.919       5.025      16.599       0.000       0.000       0.000      42.448      -8.095      -0.279
   15      1      29.616       5.427      16.588       0.000       0.000       0.000      43.535      -8.095      -0.279
   16      1      29.088       4.809      16.337       0.000       0.000       0.000      42.139      -8.095      -0.279
   17      1      28.557       4.878      16.633       0.000       0.000       0.000      41.976      -8.092      -0.279
   18      1      28.689       4.900      16.501       0.000       0.000       0.000      42.026      -8.064      -0.278
   19      1      29.564       4.772      15.986       0.000       0.000       0.000      42.279      -8.043      -0.277
   20      1      30.063       5.073      16.668       0.000       0.000       0.000      43.789      -8.015      -0.276
   21      1      30.524       5.089      16.185       0.000       0.000       0.000      43.789      -8.010      -0.276
   22      1      28.608       4.804      16.761       0.000       0.000       0.000      42.174      -8.000      -0.276
   23      1      29.269       4.861      15.994       0.000       0.000       0.000      42.154      -7.970      -0.275
   24      1      29.015       4.949      16.211       0.000       0.000       0.000      42.217      -7.958      -0.274
   25      1      28.031       4.951      17.610       0.000       0.000       0.000      42.634      -7.958      -0.274
   26      1      28.689       4.850      16.497       0.000       0.000       0.000      42.087      -7.949      -0.274
   27      1      28.826       4.789      16.553       0.000       0.000       0.000      42.223      -7.945      -0.274
   28      1      28.851       4.870      16.340       0.000       0.000       0.000      42.116      -7.945      -0.274
   29      1      28.518       4.877      16.661       0.000       0.000       0.000      42.114      -7.942      -0.274
   30      1      28.463       4.879      16.655       0.000       0.000       0.000      42.056      -7.941      -0.274
   31      1      28.573       4.844      16.651       0.000       0.000       0.000      42.127      -7.941      -0.274
   32      1      28.541       4.909      16.621       0.000       0.000       0.000      42.131      -7.940      -0.274
   33      1      28.626       4.902      16.482       0.000       0.000       0.000      42.071      -7.938      -0.274
   34      1      28.381       4.870      16.769       0.000       0.000       0.000      42.088      -7.931      -0.273
   35      1      28.854       4.862      16.351       0.000       0.000       0.000      42.142      -7.925      -0.273
   36      1      28.610       4.864      16.580       0.000       0.000       0.000      42.128      -7.925      -0.273
   37      1      28.287       4.898      16.895       0.000       0.000       0.000      42.160      -7.920      -0.273
   38      1      28.554       4.884      17.170       0.000       0.000       0.000      42.691      -7.916      -0.273
   39      1      27.670       4.823      18.035       0.000       0.000       0.000      42.614      -7.914      -0.273
   40      1      28.541       4.888      16.561       0.000       0.000       0.000      42.077      -7.913      -0.273
   41      1      28.579       4.908      16.560       0.000       0.000       0.000      42.140      -7.907      -0.273
   42      1      29.407       4.871      16.043       0.000       0.000       0.000      42.415      -7.906      -0.273
   43      1      28.696       4.853      16.464       0.000       0.000       0.000      42.112      -7.901      -0.272
   44      1      29.253       5.187      17.571       0.000       0.000       0.000      44.111      -7.900      -0.272
   45      1      28.754       4.866      16.492       0.000       0.000       0.000      42.225      -7.888      -0.272
   46      1      27.809       4.828      17.496       0.000       0.000       0.000      42.253      -7.880      -0.272
   47      1      28.619       4.826      16.650       0.000       0.000       0.000      42.247      -7.847      -0.271
   48      1      27.576       4.921      17.824       0.000       0.000       0.000      42.487      -7.833      -0.270
   49      1      30.698       5.050      16.091       0.000       0.000       0.000      44.008      -7.831      -0.270
   50      1      28.275       4.904      17.308       0.000       0.000       0.000      42.657      -7.830      -0.270
