  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      26.812       3.271      15.040       0.000       0.000       0.000      36.970      -8.153      -0.291
    2      1      25.495       3.207      16.109       0.000       0.000       0.000      36.699      -8.112      -0.290
    3      1      25.944       3.151      15.771       0.000       0.000       0.000      36.798      -8.068      -0.288
    4      1      25.857       2.929      15.386       0.000       0.000       0.000      36.107      -8.065      -0.288
    5      1      25.802       3.253      15.938       0.000       0.000       0.000      36.930      -8.063      -0.288
    6      1      26.233       3.290      15.367       0.000       0.000       0.000      36.837      -8.053      -0.288
    7      1      25.744       3.001      15.368       0.000       0.000       0.000      36.063      -8.051      -0.288
    8      1      25.584       2.933      15.665       0.000       0.000       0.000      36.131      -8.051      -0.288
    9      1      25.447       2.937      15.696       0.000       0.000       0.000      36.039      -8.040      -0.287
   10      1      25.893       3.219      15.821       0.000       0.000       0.000      36.898      -8.035      -0.287
   11      1      25.700       3.204      15.942       0.000       0.000       0.000      36.813      -8.033      -0.287
   12      1      26.155       3.125      15.766       0.000       0.000       0.000      37.017      -8.029      -0.287
   13      1      26.330       2.980      15.543       0.000       0.000       0.000      36.839      -8.015      -0.286
   14      1      26.137       3.177      15.616       0.000       0.000       0.000      36.916      -8.014      -0.286
   15      1      25.704       2.960      15.422       0.000       0.000       0.000      36.074      -8.012      -0.286
   16      1      25.528       3.155      16.184       0.000       0.000       0.000      36.857      -8.011      -0.286
   17      1      26.337       3.016      15.341       0.000       0.000       0.000      36.705      -7.990      -0.285
   18      1      25.910       3.172      15.825       0.000       0.000       0.000      36.919      -7.988      -0.285
   19      1      26.069       3.141      15.715       0.000       0.000       0.000      36.937      -7.988      -0.285
   20      1      25.339       3.095      15.884       0.000       0.000       0.000      36.337      -7.981      -0.285
   21      1      25.736       2.887      15.582       0.000       0.000       0.000      36.225      -7.981      -0.285
   22      1      25.418       2.877      15.947       0.000       0.000       0.000      36.261      -7.981      -0.285
   23      1      25.864       3.207      15.850       0.000       0.000       0.000      36.950      -7.971      -0.285
   24      1      25.583       3.202      16.030       0.000       0.000       0.000      36.845      -7.970      -0.285
   25      1      25.809       3.200      15.930       0.000       0.000       0.000      36.974      -7.965      -0.284
   26      1      26.082       2.962      15.303       0.000       0.000       0.000      36.390      -7.956      -0.284
   27      1      25.861       3.200      15.761       0.000       0.000       0.000      36.877      -7.945      -0.284
   28      1      26.512       3.035      14.712       0.000       0.000       0.000      36.315      -7.944      -0.284
   29      1      25.763       3.162      15.989       0.000       0.000       0.000      37.016      -7.897      -0.282
   30      1      25.366       2.965      15.762       0.000       0.000       0.000      36.196      -7.897      -0.282
   31      1      25.558       3.161      16.096       0.000       0.000       0.000      36.944      -7.870      -0.281
   32      1      24.734       3.127      16.457       0.000       0.000       0.000      36.449      -7.869      -0.281
   33      1      25.710       2.969      15.354       0.000       0.000       0.000      36.180      -7.853      -0.280
   34      1      25.946       3.189      15.763       0.000       0.000       0.000      37.048      -7.851      -0.280
   35      1      26.420       2.942      15.421       0.000       0.000       0.000      36.933      -7.850      -0.280
   36      1      24.745       3.145      16.541       0.000       0.000       0.000      36.583      -7.849      -0.280
   37      1      25.775       3.127      16.029       0.000       0.000       0.000      37.086      -7.845      -0.280
   38      1      24.769       3.230      16.491       0.000       0.000       0.000      36.650      -7.839      -0.280
   39      1      25.686       3.198      15.911       0.000       0.000       0.000      36.964      -7.831      -0.280
   40      1      26.182       2.916      15.220       0.000       0.000       0.000      36.497      -7.821      -0.279
   41      1      25.284       2.936      15.916       0.000       0.000       0.000      36.318      -7.819      -0.279
   42      1      25.361       3.217      16.297       0.000       0.000       0.000      37.060      -7.815      -0.279
   43      1      26.083       2.931      15.727       0.000       0.000       0.000      36.932      -7.809      -0.279
   44      1      24.165       3.036      16.536       0.000       0.000       0.000      35.931      -7.807      -0.279
   45      1      26.113       2.954      15.178       0.000       0.000       0.000      36.447      -7.799      -0.279
   46      1      24.597       3.198      16.502       0.000       0.000       0.000      36.500      -7.797      -0.278
   47      1      26.318       2.948      15.446       0.000       0.000       0.000      36.915      -7.797      -0.278
   48      1      25.744       3.214      15.838       0.000       0.000       0.000      37.001      -7.796      -0.278
   49      1      26.022       3.139      15.760       0.000       0.000       0.000      37.166      -7.755      -0.277
   50      1      26.354       3.011      15.266       0.000       0.000       0.000      36.878      -7.753      -0.277
