  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.359       3.671      14.595       0.000       0.000       0.000      34.135      -8.491      -0.314
    2      1      23.889       3.644      15.240       0.000       0.000       0.000      34.348      -8.425      -0.312
    3      1      23.990       3.560      15.129       0.000       0.000       0.000      34.255      -8.424      -0.312
    4      1      20.034       4.865      17.473       0.000       0.000       0.000      33.965      -8.406      -0.311
    5      1      24.625       3.620      14.352       0.000       0.000       0.000      34.209      -8.388      -0.311
    6      1      23.403       3.700      15.489       0.000       0.000       0.000      34.208      -8.384      -0.311
    7      1      23.581       3.619      15.356       0.000       0.000       0.000      34.202      -8.356      -0.309
    8      1      24.272       3.659      14.600       0.000       0.000       0.000      34.178      -8.353      -0.309
    9      1      24.341       3.658      14.476       0.000       0.000       0.000      34.123      -8.353      -0.309
   10      1      24.352       3.637      14.522       0.000       0.000       0.000      34.161      -8.350      -0.309
   11      1      24.280       3.788      14.500       0.000       0.000       0.000      34.252      -8.317      -0.308
   12      1      24.017       3.706      14.806       0.000       0.000       0.000      34.219      -8.309      -0.308
   13      1      23.844       3.649      15.004       0.000       0.000       0.000      34.278      -8.218      -0.304
   14      1      23.117       3.777      15.614       0.000       0.000       0.000      34.298      -8.210      -0.304
   15      1      23.826       3.773      14.881       0.000       0.000       0.000      34.292      -8.188      -0.303
   16      1      23.658       3.678      15.165       0.000       0.000       0.000      34.315      -8.187      -0.303
   17      1      24.367       3.768      14.356       0.000       0.000       0.000      34.304      -8.187      -0.303
   18      1      24.198       3.673      14.643       0.000       0.000       0.000      34.338      -8.176      -0.303
   19      1      23.584       3.562      15.424       0.000       0.000       0.000      34.401      -8.169      -0.303
   20      1      23.713       3.725      15.040       0.000       0.000       0.000      34.311      -8.167      -0.302
   21      1      24.000       3.793      14.802       0.000       0.000       0.000      34.429      -8.166      -0.302
   22      1      24.070       3.625      15.104       0.000       0.000       0.000      34.638      -8.161      -0.302
   23      1      23.912       3.710      14.781       0.000       0.000       0.000      34.252      -8.152      -0.302
   24      1      23.776       3.731      14.922       0.000       0.000       0.000      34.284      -8.146      -0.302
   25      1      23.791       3.815      15.010       0.000       0.000       0.000      34.490      -8.127      -0.301
   26      1      24.133       3.701      14.567       0.000       0.000       0.000      34.287      -8.115      -0.301
   27      1      24.125       3.635      14.820       0.000       0.000       0.000      34.478      -8.103      -0.300
   28      1      24.194       3.692      14.535       0.000       0.000       0.000      34.322      -8.098      -0.300
   29      1      24.044       3.793      14.847       0.000       0.000       0.000      34.592      -8.092      -0.300
   30      1      23.351       3.795      15.330       0.000       0.000       0.000      34.394      -8.082      -0.299
   31      1      24.177       3.781      14.658       0.000       0.000       0.000      34.542      -8.074      -0.299
   32      1      23.913       3.689      14.895       0.000       0.000       0.000      34.422      -8.074      -0.299
   33      1      23.978       3.824      14.858       0.000       0.000       0.000      34.593      -8.067      -0.299
   34      1      24.067       3.701      14.739       0.000       0.000       0.000      34.442      -8.065      -0.299
   35      1      24.296       3.639      14.396       0.000       0.000       0.000      34.266      -8.064      -0.299
   36      1      23.881       3.745      14.992       0.000       0.000       0.000      34.556      -8.062      -0.299
   37      1      24.232       3.685      14.351       0.000       0.000       0.000      34.207      -8.061      -0.299
   38      1      23.690       3.728      15.012       0.000       0.000       0.000      34.372      -8.057      -0.298
   39      1      24.163       3.637      14.665       0.000       0.000       0.000      34.412      -8.053      -0.298
   40      1      24.087       3.659      14.649       0.000       0.000       0.000      34.351      -8.045      -0.298
   41      1      24.209       3.702      14.504       0.000       0.000       0.000      34.372      -8.042      -0.298
   42      1      23.705       3.613      15.378       0.000       0.000       0.000      34.658      -8.037      -0.298
   43      1      23.955       3.683      14.825       0.000       0.000       0.000      34.428      -8.035      -0.298
   44      1      23.990       4.000      15.060       0.000       0.000       0.000      35.022      -8.028      -0.297
   45      1      24.654       5.955      14.881       0.000       0.000       0.000      37.480      -8.011      -0.297
   46      1      23.967       3.638      14.849       0.000       0.000       0.000      34.443      -8.010      -0.297
   47      1      23.771       3.711      14.937       0.000       0.000       0.000      34.419      -8.000      -0.296
   48      1      23.666       3.827      15.122       0.000       0.000       0.000      34.617      -7.998      -0.296
   49      1      24.026       3.689      14.692       0.000       0.000       0.000      34.409      -7.997      -0.296
   50      1      24.019       3.816      14.832       0.000       0.000       0.000      34.671      -7.996      -0.296
