  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.320       3.749      15.508       0.000       0.000       0.000      33.080      -9.497      -0.339
    2      1      23.009       3.761      15.783       0.000       0.000       0.000      33.088      -9.465      -0.338
    3      1      22.682       3.738      15.839       0.000       0.000       0.000      32.944      -9.314      -0.333
    4      1      23.182       3.509      15.734       0.000       0.000       0.000      33.131      -9.294      -0.332
    5      1      23.368       3.823      15.274       0.000       0.000       0.000      33.187      -9.278      -0.331
    6      1      22.104       3.593      16.522       0.000       0.000       0.000      32.941      -9.277      -0.331
    7      1      22.580       3.653      15.948       0.000       0.000       0.000      32.923      -9.258      -0.331
    8      1      22.644       3.608      15.942       0.000       0.000       0.000      32.936      -9.258      -0.331
    9      1      22.458       3.648      16.054       0.000       0.000       0.000      32.907      -9.252      -0.330
   10      1      22.515       3.860      16.082       0.000       0.000       0.000      33.212      -9.245      -0.330
   11      1      22.675       3.713      15.968       0.000       0.000       0.000      33.118      -9.238      -0.330
   12      1      22.615       3.669      16.023       0.000       0.000       0.000      33.070      -9.238      -0.330
   13      1      22.799       3.847      15.812       0.000       0.000       0.000      33.233      -9.226      -0.329
   14      1      23.021       3.709      15.485       0.000       0.000       0.000      32.995      -9.219      -0.329
   15      1      22.493       3.827      16.105       0.000       0.000       0.000      33.209      -9.216      -0.329
   16      1      22.869       3.725      15.504       0.000       0.000       0.000      32.893      -9.204      -0.329
   17      1      22.794       3.734      15.587       0.000       0.000       0.000      32.917      -9.198      -0.328
   18      1      22.291       3.644      16.183       0.000       0.000       0.000      32.921      -9.197      -0.328
   19      1      23.023       3.659      15.500       0.000       0.000       0.000      32.993      -9.189      -0.328
   20      1      22.657       3.591      15.979       0.000       0.000       0.000      33.042      -9.185      -0.328
   21      1      22.484       3.663      15.946       0.000       0.000       0.000      32.915      -9.177      -0.328
   22      1      22.877       3.638      15.664       0.000       0.000       0.000      33.003      -9.175      -0.328
   23      1      22.522       3.507      16.222       0.000       0.000       0.000      33.076      -9.175      -0.328
   24      1      22.960       3.806      15.737       0.000       0.000       0.000      33.330      -9.173      -0.328
   25      1      23.000       3.565      15.652       0.000       0.000       0.000      33.046      -9.172      -0.328
   26      1      23.058       3.562      15.591       0.000       0.000       0.000      33.040      -9.172      -0.328
   27      1      22.565       3.529      16.229       0.000       0.000       0.000      33.158      -9.165      -0.327
   28      1      22.804       3.485      16.039       0.000       0.000       0.000      33.169      -9.159      -0.327
   29      1      22.738       3.816      15.947       0.000       0.000       0.000      33.347      -9.154      -0.327
   30      1      23.047       3.592      15.550       0.000       0.000       0.000      33.034      -9.154      -0.327
   31      1      23.227       3.566      15.462       0.000       0.000       0.000      33.123      -9.132      -0.326
   32      1      22.708       3.738      16.122       0.000       0.000       0.000      33.438      -9.130      -0.326
   33      1      22.833       3.635      15.663       0.000       0.000       0.000      33.002      -9.130      -0.326
   34      1      23.500       3.848      15.172       0.000       0.000       0.000      33.399      -9.121      -0.326
   35      1      23.150       3.525      15.673       0.000       0.000       0.000      33.231      -9.117      -0.326
   36      1      22.355       3.554      16.160       0.000       0.000       0.000      32.963      -9.106      -0.325
   37      1      23.556       3.766      15.102       0.000       0.000       0.000      33.323      -9.100      -0.325
   38      1      23.148       3.802      15.428       0.000       0.000       0.000      33.291      -9.087      -0.325
   39      1      23.388       3.791      15.217       0.000       0.000       0.000      33.311      -9.084      -0.324
   40      1      22.864       3.525      15.805       0.000       0.000       0.000      33.116      -9.079      -0.324
   41      1      22.501       3.598      16.069       0.000       0.000       0.000      33.100      -9.067      -0.324
   42      1      21.373       3.649      16.500       0.000       0.000       0.000      32.460      -9.062      -0.324
   43      1      21.347       3.600      16.696       0.000       0.000       0.000      32.581      -9.062      -0.324
   44      1      21.545       3.607      16.515       0.000       0.000       0.000      32.605      -9.062      -0.324
   45      1      21.444       3.637      16.568       0.000       0.000       0.000      32.588      -9.062      -0.324
   46      1      22.541       3.914      15.810       0.000       0.000       0.000      33.205      -9.060      -0.324
   47      1      23.391       3.795      15.158       0.000       0.000       0.000      33.286      -9.058      -0.323
   48      1      22.640       3.622      15.790       0.000       0.000       0.000      33.003      -9.048      -0.323
   49      1      22.478       3.669      16.229       0.000       0.000       0.000      33.330      -9.046      -0.323
   50      1      22.456       3.492      16.263       0.000       0.000       0.000      33.171      -9.040      -0.323
