  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      13.426       1.688      18.033       0.000       0.000       0.000      23.561      -9.586      -0.355
    2      1      13.721       1.525      18.254       0.000       0.000       0.000      24.051      -9.449      -0.350
    3      1      13.875       1.478      17.904       0.000       0.000       0.000      23.877      -9.379      -0.347
    4      1      13.414       1.581      18.122       0.000       0.000       0.000      23.783      -9.333      -0.346
    5      1      13.152       1.649      18.345       0.000       0.000       0.000      23.813      -9.333      -0.346
    6      1      13.965       1.511      17.808       0.000       0.000       0.000      23.959      -9.324      -0.345
    7      1      13.667       1.561      17.994       0.000       0.000       0.000      23.930      -9.291      -0.344
    8      1      13.455       1.566      18.249       0.000       0.000       0.000      23.989      -9.281      -0.344
    9      1      13.720       1.666      17.985       0.000       0.000       0.000      24.094      -9.277      -0.344
   10      1      13.807       1.521      18.261       0.000       0.000       0.000      24.333      -9.256      -0.343
   11      1      13.782       1.573      17.874       0.000       0.000       0.000      23.994      -9.235      -0.342
   12      1      14.054       1.658      17.552       0.000       0.000       0.000      24.041      -9.224      -0.342
   13      1      12.503       1.539      18.499       0.000       0.000       0.000      23.326      -9.215      -0.341
   14      1      13.511       1.618      17.979       0.000       0.000       0.000      23.899      -9.210      -0.341
   15      1      13.920       1.507      18.169       0.000       0.000       0.000      24.394      -9.202      -0.341
   16      1      13.123       3.680      19.924       0.000       0.000       0.000      27.528      -9.200      -0.341
   17      1      13.482       1.638      17.970       0.000       0.000       0.000      23.895      -9.195      -0.341
   18      1      13.363       1.575      18.177       0.000       0.000       0.000      23.945      -9.170      -0.340
   19      1      13.094       1.575      18.406       0.000       0.000       0.000      23.906      -9.169      -0.340
   20      1      11.972       1.595      18.414       0.000       0.000       0.000      22.827      -9.154      -0.339
   21      1      12.053       1.651      18.388       0.000       0.000       0.000      22.938      -9.153      -0.339
   22      1      13.643       1.674      17.749       0.000       0.000       0.000      23.939      -9.126      -0.338
   23      1      13.560       1.643      18.023       0.000       0.000       0.000      24.107      -9.119      -0.338
   24      1      13.517       1.599      17.872       0.000       0.000       0.000      23.871      -9.118      -0.338
   25      1      13.421       1.557      18.043       0.000       0.000       0.000      23.904      -9.118      -0.338
   26      1      13.798       1.555      18.140       0.000       0.000       0.000      24.389      -9.105      -0.337
   27      1      12.404       1.483      18.822       0.000       0.000       0.000      23.607      -9.102      -0.337
   28      1      13.531       1.585      17.904       0.000       0.000       0.000      23.922      -9.097      -0.337
   29      1      13.671       1.647      17.715       0.000       0.000       0.000      23.939      -9.094      -0.337
   30      1      12.244       1.645      18.788       0.000       0.000       0.000      23.586      -9.090      -0.337
   31      1      12.521       1.579      18.448       0.000       0.000       0.000      23.457      -9.090      -0.337
   32      1      13.524       1.687      18.213       0.000       0.000       0.000      24.337      -9.086      -0.337
   33      1      13.424       1.607      17.488       0.000       0.000       0.000      23.434      -9.085      -0.336
   34      1      12.431       1.576      18.455       0.000       0.000       0.000      23.379      -9.082      -0.336
   35      1      13.783       1.628      17.751       0.000       0.000       0.000      24.083      -9.080      -0.336
   36      1      12.654       1.503      18.559       0.000       0.000       0.000      23.644      -9.073      -0.336
   37      1      12.304       1.589      18.696       0.000       0.000       0.000      23.519      -9.071      -0.336
   38      1      14.107       1.538      17.941       0.000       0.000       0.000      24.517      -9.069      -0.336
   39      1      13.507       1.599      18.009       0.000       0.000       0.000      24.054      -9.061      -0.336
   40      1      12.635       1.468      18.545       0.000       0.000       0.000      23.587      -9.060      -0.336
   41      1      13.203       1.562      18.267       0.000       0.000       0.000      23.985      -9.047      -0.335
   42      1      12.312       1.572      18.592       0.000       0.000       0.000      23.438      -9.039      -0.335
   43      1      12.450       1.618      18.413       0.000       0.000       0.000      23.450      -9.032      -0.335
   44      1      13.689       1.537      17.868       0.000       0.000       0.000      24.063      -9.032      -0.335
   45      1      11.901       1.558      18.499       0.000       0.000       0.000      22.927      -9.031      -0.334
   46      1      12.577       1.600      18.418       0.000       0.000       0.000      23.565      -9.031      -0.334
   47      1      13.553       1.565      17.979       0.000       0.000       0.000      24.071      -9.026      -0.334
   48      1      13.592       1.653      17.798       0.000       0.000       0.000      24.017      -9.026      -0.334
   49      1      13.387       1.658      18.128       0.000       0.000       0.000      24.154      -9.018      -0.334
   50      1      13.643       1.597      18.305       0.000       0.000       0.000      24.528      -9.016      -0.334
