  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.152       3.462      16.227       0.000       0.000       0.000      35.547      -8.294      -0.307
    2      1      24.176       3.558      16.000       0.000       0.000       0.000      35.446      -8.288      -0.307
    3      1      25.281       3.485      14.890       0.000       0.000       0.000      35.384      -8.272      -0.306
    4      1      24.551       3.467      15.683       0.000       0.000       0.000      35.453      -8.248      -0.305
    5      1      24.693       3.499      15.603       0.000       0.000       0.000      35.551      -8.244      -0.305
    6      1      24.528       3.555      15.512       0.000       0.000       0.000      35.354      -8.240      -0.305
    7      1      25.036       3.400      16.497       0.000       0.000       0.000      36.703      -8.231      -0.305
    8      1      24.909       3.452      16.526       0.000       0.000       0.000      36.676      -8.211      -0.304
    9      1      24.335       3.528      15.881       0.000       0.000       0.000      35.533      -8.211      -0.304
   10      1      24.475       3.575      15.535       0.000       0.000       0.000      35.393      -8.192      -0.303
   11      1      24.423       3.424      15.929       0.000       0.000       0.000      35.593      -8.183      -0.303
   12      1      25.018       3.477      15.235       0.000       0.000       0.000      35.548      -8.183      -0.303
   13      1      24.274       3.486      15.917       0.000       0.000       0.000      35.505      -8.171      -0.303
   14      1      24.413       3.519      15.757       0.000       0.000       0.000      35.519      -8.170      -0.303
   15      1      24.444       3.488      15.758       0.000       0.000       0.000      35.523      -8.168      -0.303
   16      1      24.424       3.567      15.579       0.000       0.000       0.000      35.406      -8.164      -0.302
   17      1      24.445       3.512      15.667       0.000       0.000       0.000      35.461      -8.163      -0.302
   18      1      24.145       3.538      16.062       0.000       0.000       0.000      35.592      -8.153      -0.302
   19      1      24.409       3.521      15.776       0.000       0.000       0.000      35.555      -8.150      -0.302
   20      1      24.442       3.505      15.762       0.000       0.000       0.000      35.562      -8.147      -0.302
   21      1      24.570       3.733      16.035       0.000       0.000       0.000      36.219      -8.120      -0.301
   22      1      25.035       3.658      15.272       0.000       0.000       0.000      35.865      -8.101      -0.300
   23      1      24.321       3.562      15.799       0.000       0.000       0.000      35.581      -8.100      -0.300
   24      1      24.787       3.745      15.753       0.000       0.000       0.000      36.190      -8.096      -0.300
   25      1      25.203       3.481      14.905       0.000       0.000       0.000      35.496      -8.092      -0.300
   26      1      24.333       3.520      16.031       0.000       0.000       0.000      35.794      -8.089      -0.300
   27      1      24.455       3.524      15.771       0.000       0.000       0.000      35.664      -8.086      -0.299
   28      1      24.569       3.505      15.632       0.000       0.000       0.000      35.622      -8.084      -0.299
   29      1      24.919       3.517      15.342       0.000       0.000       0.000      35.694      -8.084      -0.299
   30      1      24.492       3.522      15.701       0.000       0.000       0.000      35.639      -8.076      -0.299
   31      1      24.514       3.441      15.726       0.000       0.000       0.000      35.607      -8.074      -0.299
   32      1      24.403       3.590      15.583       0.000       0.000       0.000      35.507      -8.069      -0.299
   33      1      23.799       3.575      16.147       0.000       0.000       0.000      35.453      -8.068      -0.299
   34      1      24.127       3.521      15.968       0.000       0.000       0.000      35.547      -8.068      -0.299
   35      1      24.639       3.582      15.407       0.000       0.000       0.000      35.561      -8.067      -0.299
   36      1      24.042       3.508      16.031       0.000       0.000       0.000      35.518      -8.063      -0.299
   37      1      24.437       3.515      15.808       0.000       0.000       0.000      35.698      -8.062      -0.299
   38      1      22.341       4.495      16.850       0.000       0.000       0.000      35.627      -8.060      -0.299
   39      1      24.921       3.544      15.008       0.000       0.000       0.000      35.420      -8.053      -0.298
   40      1      24.643       3.556      15.427       0.000       0.000       0.000      35.573      -8.052      -0.298
   41      1      23.789       3.455      15.873       0.000       0.000       0.000      35.068      -8.048      -0.298
   42      1      23.468       3.481      16.155       0.000       0.000       0.000      35.059      -8.046      -0.298
   43      1      24.609       3.518      15.501       0.000       0.000       0.000      35.600      -8.029      -0.297
   44      1      24.337       3.453      15.964       0.000       0.000       0.000      35.727      -8.026      -0.297
   45      1      24.714       3.528      15.472       0.000       0.000       0.000      35.714      -7.999      -0.296
   46      1      24.207       3.503      15.981       0.000       0.000       0.000      35.698      -7.994      -0.296
   47      1      24.892       3.516      15.332       0.000       0.000       0.000      35.750      -7.990      -0.296
   48      1      24.405       3.550      15.715       0.000       0.000       0.000      35.691      -7.979      -0.296
   49      1      24.757       3.640      15.136       0.000       0.000       0.000      35.566      -7.967      -0.295
   50      1      24.904       3.528      15.275       0.000       0.000       0.000      35.742      -7.966      -0.295
