  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.749       4.094      17.320       0.000       0.000       0.000      38.041      -8.122      -0.280
    2      1      25.198       3.959      17.845       0.000       0.000       0.000      38.884      -8.118      -0.280
    3      1      26.047       3.749      16.542       0.000       0.000       0.000      38.326      -8.012      -0.276
    4      1      24.194       4.230      17.931       0.000       0.000       0.000      38.351      -8.004      -0.276
    5      1      25.049       4.053      16.958       0.000       0.000       0.000      38.076      -7.984      -0.275
    6      1      25.453       4.067      16.525       0.000       0.000       0.000      38.062      -7.982      -0.275
    7      1      24.466       4.178      17.268       0.000       0.000       0.000      37.948      -7.964      -0.275
    8      1      24.960       4.100      16.965       0.000       0.000       0.000      38.078      -7.948      -0.274
    9      1      24.449       4.195      17.358       0.000       0.000       0.000      38.070      -7.933      -0.274
   10      1      25.265       3.942      16.711       0.000       0.000       0.000      37.986      -7.931      -0.273
   11      1      24.287       4.150      17.394       0.000       0.000       0.000      37.909      -7.923      -0.273
   12      1      24.889       4.006      17.002       0.000       0.000       0.000      37.977      -7.920      -0.273
   13      1      24.823       3.992      17.072       0.000       0.000       0.000      38.000      -7.886      -0.272
   14      1      25.075       4.025      16.864       0.000       0.000       0.000      38.087      -7.877      -0.272
   15      1      25.264       4.077      17.227       0.000       0.000       0.000      38.691      -7.876      -0.272
   16      1      25.089       4.061      16.735       0.000       0.000       0.000      38.013      -7.871      -0.271
   17      1      25.361       4.063      16.546       0.000       0.000       0.000      38.107      -7.863      -0.271
   18      1      27.020       3.646      15.964       0.000       0.000       0.000      38.770      -7.860      -0.271
   19      1      25.728       3.992      16.251       0.000       0.000       0.000      38.115      -7.857      -0.271
   20      1      24.538       4.020      17.323       0.000       0.000       0.000      38.040      -7.841      -0.270
   21      1      25.398       4.099      17.284       0.000       0.000       0.000      38.951      -7.830      -0.270
   22      1      25.247       3.936      16.770       0.000       0.000       0.000      38.126      -7.827      -0.270
   23      1      24.935       3.990      16.996       0.000       0.000       0.000      38.106      -7.815      -0.269
   24      1      24.559       4.156      17.582       0.000       0.000       0.000      38.484      -7.813      -0.269
   25      1      26.660       3.780      16.645       0.000       0.000       0.000      39.292      -7.792      -0.269
   26      1      26.709       3.786      16.815       0.000       0.000       0.000      39.529      -7.781      -0.268
   27      1      24.664       4.150      17.283       0.000       0.000       0.000      38.324      -7.774      -0.268
   28      1      26.435       3.811      16.626       0.000       0.000       0.000      39.120      -7.752      -0.267
   29      1      25.032       4.037      16.789       0.000       0.000       0.000      38.107      -7.752      -0.267
   30      1      24.435       4.121      17.267       0.000       0.000       0.000      38.072      -7.752      -0.267
   31      1      26.566       3.742      15.992       0.000       0.000       0.000      38.552      -7.747      -0.267
   32      1      25.022       4.048      16.903       0.000       0.000       0.000      38.234      -7.739      -0.267
   33      1      25.098       4.073      16.815       0.000       0.000       0.000      38.256      -7.730      -0.267
   34      1      25.903       3.911      16.749       0.000       0.000       0.000      38.841      -7.723      -0.266
   35      1      24.748       4.083      17.046       0.000       0.000       0.000      38.163      -7.714      -0.266
   36      1      24.508       4.043      17.256       0.000       0.000       0.000      38.094      -7.713      -0.266
   37      1      26.186       3.698      16.360       0.000       0.000       0.000      38.546      -7.698      -0.265
   38      1      26.466       3.896      16.631       0.000       0.000       0.000      39.303      -7.690      -0.265
   39      1      26.230       3.900      16.848       0.000       0.000       0.000      39.288      -7.690      -0.265
   40      1      24.566       4.168      17.169       0.000       0.000       0.000      38.220      -7.683      -0.265
   41      1      25.662       3.915      16.972       0.000       0.000       0.000      38.869      -7.680      -0.265
   42      1      24.775       4.004      17.143       0.000       0.000       0.000      38.242      -7.680      -0.265
   43      1      25.157       3.985      16.707       0.000       0.000       0.000      38.169      -7.679      -0.265
   44      1      26.248       3.902      16.892       0.000       0.000       0.000      39.364      -7.679      -0.265
   45      1      25.262       3.977      16.640       0.000       0.000       0.000      38.210      -7.669      -0.264
   46      1      25.143       3.991      16.681       0.000       0.000       0.000      38.149      -7.666      -0.264
   47      1      25.589       3.987      16.914       0.000       0.000       0.000      38.831      -7.659      -0.264
   48      1      25.803       3.806      17.032       0.000       0.000       0.000      38.990      -7.652      -0.264
   49      1      25.058       4.007      16.747       0.000       0.000       0.000      38.162      -7.651      -0.264
   50      1      25.932       3.912      16.946       0.000       0.000       0.000      39.144      -7.646      -0.264
