  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.367       3.280      19.535       0.000       0.000       0.000      37.372      -8.810      -0.294
    2      1      24.450       3.156      19.753       0.000       0.000       0.000      38.755      -8.604      -0.287
    3      1      24.562       3.176      19.514       0.000       0.000       0.000      38.651      -8.602      -0.287
    4      1      29.193       4.024      17.483       0.000       0.000       0.000      42.237      -8.463      -0.282
    5      1      23.289       3.126      19.679       0.000       0.000       0.000      37.820      -8.274      -0.276
    6      1      23.089       3.378      19.946       0.000       0.000       0.000      38.214      -8.199      -0.273
    7      1      26.574       2.515      16.581       0.000       0.000       0.000      37.482      -8.188      -0.273
    8      1      25.850       2.588      17.484       0.000       0.000       0.000      37.746      -8.176      -0.273
    9      1      22.707       2.964      21.982       0.000       0.000       0.000      39.519      -8.135      -0.271
   10      1      23.965       4.144      20.191       0.000       0.000       0.000      40.170      -8.129      -0.271
   11      1      27.548       2.563      17.292       0.000       0.000       0.000      39.293      -8.111      -0.270
   12      1      27.700       2.554      16.759       0.000       0.000       0.000      38.956      -8.057      -0.269
   13      1      24.778       3.295      18.366       0.000       0.000       0.000      38.382      -8.057      -0.269
   14      1      26.196       2.504      16.894       0.000       0.000       0.000      37.544      -8.050      -0.268
   15      1      25.709       2.604      17.709       0.000       0.000       0.000      38.002      -8.020      -0.267
   16      1      26.013       2.487      17.193       0.000       0.000       0.000      37.684      -8.009      -0.267
   17      1      26.157       2.534      16.995       0.000       0.000       0.000      37.676      -8.009      -0.267
   18      1      25.563       2.597      17.395       0.000       0.000       0.000      37.554      -8.001      -0.267
   19      1      26.537       2.562      16.637       0.000       0.000       0.000      37.742      -7.993      -0.266
   20      1      27.256       2.464      17.039       0.000       0.000       0.000      38.787      -7.973      -0.266
   21      1      25.738       2.603      17.507       0.000       0.000       0.000      37.876      -7.973      -0.266
   22      1      27.215       2.520      17.233       0.000       0.000       0.000      39.029      -7.939      -0.265
   23      1      26.756       2.435      17.527       0.000       0.000       0.000      38.783      -7.935      -0.265
   24      1      27.227       2.374      16.841       0.000       0.000       0.000      38.540      -7.902      -0.263
   25      1      27.807       2.310      16.642       0.000       0.000       0.000      38.865      -7.894      -0.263
   26      1      27.280       2.553      17.430       0.000       0.000       0.000      39.371      -7.892      -0.263
   27      1      29.267       2.319      15.908       0.000       0.000       0.000      39.604      -7.890      -0.263
   28      1      26.736       2.579      17.422       0.000       0.000       0.000      38.897      -7.840      -0.261
   29      1      24.648       3.332      18.945       0.000       0.000       0.000      39.088      -7.837      -0.261
   30      1      27.032       3.399      18.380       0.000       0.000       0.000      40.978      -7.833      -0.261
   31      1      25.690       2.502      17.343       0.000       0.000       0.000      37.702      -7.833      -0.261
   32      1      25.604       2.530      17.311       0.000       0.000       0.000      37.613      -7.833      -0.261
   33      1      25.960       3.064      18.871       0.000       0.000       0.000      40.064      -7.831      -0.261
   34      1      27.221       2.184      16.420       0.000       0.000       0.000      37.997      -7.828      -0.261
   35      1      25.642       2.623      17.332       0.000       0.000       0.000      37.770      -7.826      -0.261
   36      1      28.022       2.493      16.384       0.000       0.000       0.000      39.078      -7.821      -0.261
   37      1      28.056       2.214      17.259       0.000       0.000       0.000      39.708      -7.821      -0.261
   38      1      26.027       2.468      17.120       0.000       0.000       0.000      37.796      -7.819      -0.261
   39      1      27.310       2.594      17.008       0.000       0.000       0.000      39.097      -7.815      -0.260
   40      1      28.848       3.317      17.783       0.000       0.000       0.000      42.139      -7.809      -0.260
   41      1      27.121       2.456      17.252       0.000       0.000       0.000      39.024      -7.806      -0.260
   42      1      27.566       2.473      16.796       0.000       0.000       0.000      39.030      -7.806      -0.260
   43      1      26.021       2.503      17.036       0.000       0.000       0.000      37.762      -7.797      -0.260
   44      1      26.674       2.517      16.551       0.000       0.000       0.000      37.948      -7.793      -0.260
   45      1      25.597       2.563      17.350       0.000       0.000       0.000      37.737      -7.772      -0.259
   46      1      27.491       2.489      16.971       0.000       0.000       0.000      39.185      -7.766      -0.259
   47      1      25.471       2.785      17.718       0.000       0.000       0.000      38.208      -7.766      -0.259
   48      1      26.544       2.441      16.785       0.000       0.000       0.000      38.009      -7.761      -0.259
   49      1      26.029       2.439      17.128       0.000       0.000       0.000      37.878      -7.718      -0.257
   50      1      25.872       2.496      17.267       0.000       0.000       0.000      37.924      -7.711      -0.257
