  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.269       5.487      21.474       0.000       0.000       0.000      46.591      -8.639      -0.309
    2      1      28.999       5.434      20.881       0.000       0.000       0.000      46.683      -8.631      -0.308
    3      1      28.694       5.515      21.103       0.000       0.000       0.000      46.681      -8.631      -0.308
    4      1      28.511       5.483      21.754       0.000       0.000       0.000      47.134      -8.614      -0.308
    5      1      27.239       5.475      23.304       0.000       0.000       0.000      47.433      -8.585      -0.307
    6      1      29.032       5.454      20.829       0.000       0.000       0.000      46.739      -8.576      -0.306
    7      1      28.293       5.465      21.653       0.000       0.000       0.000      46.849      -8.561      -0.306
    8      1      28.888       5.471      20.962       0.000       0.000       0.000      46.761      -8.560      -0.306
    9      1      28.832       5.476      20.960       0.000       0.000       0.000      46.710      -8.557      -0.306
   10      1      28.893       5.432      21.047       0.000       0.000       0.000      46.815      -8.556      -0.306
   11      1      28.931       5.458      20.931       0.000       0.000       0.000      46.771      -8.548      -0.305
   12      1      28.966       5.449      21.001       0.000       0.000       0.000      46.881      -8.535      -0.305
   13      1      28.049       5.568      21.755       0.000       0.000       0.000      46.838      -8.535      -0.305
   14      1      28.415       5.568      21.339       0.000       0.000       0.000      46.792      -8.531      -0.305
   15      1      28.382       5.505      21.382       0.000       0.000       0.000      46.747      -8.521      -0.304
   16      1      28.441       5.501      21.315       0.000       0.000       0.000      46.737      -8.520      -0.304
   17      1      28.336       5.532      21.422       0.000       0.000       0.000      46.775      -8.516      -0.304
   18      1      27.904       5.435      21.882       0.000       0.000       0.000      46.712      -8.509      -0.304
   19      1      27.951       5.488      21.730       0.000       0.000       0.000      46.663      -8.507      -0.304
   20      1      28.398       5.466      21.407       0.000       0.000       0.000      46.765      -8.507      -0.304
   21      1      27.952       5.498      21.835       0.000       0.000       0.000      46.779      -8.507      -0.304
   22      1      28.735       5.462      21.203       0.000       0.000       0.000      46.895      -8.505      -0.304
   23      1      28.165       5.516      21.687       0.000       0.000       0.000      46.866      -8.502      -0.304
   24      1      28.106       5.540      21.532       0.000       0.000       0.000      46.676      -8.502      -0.304
   25      1      28.054       5.559      21.679       0.000       0.000       0.000      46.795      -8.496      -0.303
   26      1      28.205       5.551      21.411       0.000       0.000       0.000      46.671      -8.496      -0.303
   27      1      28.430       5.528      21.342       0.000       0.000       0.000      46.803      -8.496      -0.303
   28      1      28.236       5.511      21.414       0.000       0.000       0.000      46.665      -8.496      -0.303
   29      1      28.336       5.508      21.390       0.000       0.000       0.000      46.738      -8.496      -0.303
   30      1      28.321       5.470      21.451       0.000       0.000       0.000      46.747      -8.496      -0.303
   31      1      28.208       5.519      21.574       0.000       0.000       0.000      46.809      -8.491      -0.303
   32      1      27.882       5.471      21.863       0.000       0.000       0.000      46.726      -8.490      -0.303
   33      1      28.672       5.565      21.114       0.000       0.000       0.000      46.869      -8.481      -0.303
   34      1      28.111       5.552      21.687       0.000       0.000       0.000      46.869      -8.481      -0.303
   35      1      28.191       5.535      21.555       0.000       0.000       0.000      46.803      -8.477      -0.303
   36      1      28.028       5.566      21.704       0.000       0.000       0.000      46.820      -8.477      -0.303
   37      1      28.560       5.496      21.151       0.000       0.000       0.000      46.736      -8.471      -0.303
   38      1      27.909       5.555      21.802       0.000       0.000       0.000      46.795      -8.471      -0.303
   39      1      29.585       5.446      20.513       0.000       0.000       0.000      47.074      -8.470      -0.302
   40      1      28.088       5.465      21.613       0.000       0.000       0.000      46.701      -8.465      -0.302
   41      1      28.151       5.514      21.499       0.000       0.000       0.000      46.698      -8.465      -0.302
   42      1      28.402       5.545      21.473       0.000       0.000       0.000      46.966      -8.456      -0.302
   43      1      27.889       5.422      22.267       0.000       0.000       0.000      47.124      -8.454      -0.302
   44      1      28.504       5.523      21.281       0.000       0.000       0.000      46.857      -8.451      -0.302
   45      1      28.222       5.484      21.928       0.000       0.000       0.000      47.186      -8.448      -0.302
   46      1      29.036       5.489      20.804       0.000       0.000       0.000      46.885      -8.445      -0.302
   47      1      28.657       5.472      21.135       0.000       0.000       0.000      46.826      -8.439      -0.301
   48      1      28.043       5.514      21.607       0.000       0.000       0.000      46.729      -8.435      -0.301
   49      1      29.315       5.577      20.544       0.000       0.000       0.000      47.003      -8.432      -0.301
   50      1      27.837       5.432      22.011       0.000       0.000       0.000      46.849      -8.431      -0.301
