  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      27.829       4.741      14.676       0.000       0.000       0.000      39.495      -7.751      -0.298
    2      1      28.245       4.645      13.869       0.000       0.000       0.000      39.016      -7.743      -0.298
    3      1      27.995       4.634      14.074       0.000       0.000       0.000      38.985      -7.719      -0.297
    4      1      27.966       4.677      14.326       0.000       0.000       0.000      39.258      -7.711      -0.297
    5      1      28.187       4.658      14.006       0.000       0.000       0.000      39.145      -7.705      -0.296
    6      1      28.030       4.594      14.101       0.000       0.000       0.000      39.023      -7.702      -0.296
    7      1      27.919       4.636      14.184       0.000       0.000       0.000      39.039      -7.700      -0.296
    8      1      27.910       4.583      14.338       0.000       0.000       0.000      39.150      -7.681      -0.295
    9      1      28.126       4.609      14.040       0.000       0.000       0.000      39.096      -7.678      -0.295
   10      1      28.143       4.614      13.919       0.000       0.000       0.000      38.997      -7.677      -0.295
   11      1      27.801       4.594      14.517       0.000       0.000       0.000      39.236      -7.677      -0.295
   12      1      28.011       4.674      14.143       0.000       0.000       0.000      39.153      -7.674      -0.295
   13      1      27.985       4.662      14.023       0.000       0.000       0.000      38.996      -7.674      -0.295
   14      1      27.985       4.638      13.992       0.000       0.000       0.000      38.942      -7.673      -0.295
   15      1      28.127       4.591      14.157       0.000       0.000       0.000      39.203      -7.671      -0.295
   16      1      27.970       4.643      14.094       0.000       0.000       0.000      39.038      -7.669      -0.295
   17      1      27.964       4.629      14.060       0.000       0.000       0.000      38.986      -7.668      -0.295
   18      1      27.948       4.624      14.331       0.000       0.000       0.000      39.236      -7.667      -0.295
   19      1      27.775       4.625      14.276       0.000       0.000       0.000      39.009      -7.667      -0.295
   20      1      27.727       4.630      14.321       0.000       0.000       0.000      39.010      -7.667      -0.295
   21      1      28.000       4.592      14.242       0.000       0.000       0.000      39.169      -7.664      -0.295
   22      1      27.834       4.712      14.408       0.000       0.000       0.000      39.298      -7.656      -0.294
   23      1      27.846       4.648      14.190       0.000       0.000       0.000      39.054      -7.630      -0.293
   24      1      28.317       4.738      13.893       0.000       0.000       0.000      39.329      -7.619      -0.293
   25      1      28.026       4.616      14.020       0.000       0.000       0.000      39.046      -7.616      -0.293
   26      1      28.001       4.610      14.105       0.000       0.000       0.000      39.100      -7.616      -0.293
   27      1      27.285       4.618      15.038       0.000       0.000       0.000      39.327      -7.615      -0.293
   28      1      28.072       4.600      14.119       0.000       0.000       0.000      39.179      -7.612      -0.293
   29      1      28.141       4.661      13.880       0.000       0.000       0.000      39.070      -7.612      -0.293
   30      1      27.203       4.637      15.042       0.000       0.000       0.000      39.270      -7.611      -0.293
   31      1      28.162       4.637      13.887       0.000       0.000       0.000      39.082      -7.604      -0.292
   32      1      28.160       4.648      13.845       0.000       0.000       0.000      39.050      -7.602      -0.292
   33      1      28.114       4.615      13.945       0.000       0.000       0.000      39.072      -7.602      -0.292
   34      1      28.345       4.635      13.793       0.000       0.000       0.000      39.172      -7.602      -0.292
   35      1      27.929       4.645      14.095       0.000       0.000       0.000      39.067      -7.602      -0.292
   36      1      28.180       4.621      13.969       0.000       0.000       0.000      39.169      -7.602      -0.292
   37      1      28.030       4.661      13.977       0.000       0.000       0.000      39.066      -7.602      -0.292
   38      1      27.172       4.615      15.160       0.000       0.000       0.000      39.347      -7.600      -0.292
   39      1      27.348       4.567      15.021       0.000       0.000       0.000      39.337      -7.600      -0.292
   40      1      27.070       4.626      15.321       0.000       0.000       0.000      39.417      -7.600      -0.292
   41      1      28.048       4.673      13.952       0.000       0.000       0.000      39.081      -7.592      -0.292
   42      1      28.305       4.629      13.836       0.000       0.000       0.000      39.183      -7.587      -0.292
   43      1      27.655       4.645      14.447       0.000       0.000       0.000      39.164      -7.583      -0.292
   44      1      28.526       4.677      13.609       0.000       0.000       0.000      39.243      -7.569      -0.291
   45      1      28.089       4.646      14.051       0.000       0.000       0.000      39.225      -7.561      -0.291
   46      1      28.429       4.667      13.774       0.000       0.000       0.000      39.313      -7.558      -0.291
   47      1      27.995       4.646      14.027       0.000       0.000       0.000      39.117      -7.552      -0.290
   48      1      28.206       4.639      13.843       0.000       0.000       0.000      39.136      -7.552      -0.290
   49      1      28.450       4.542      13.863       0.000       0.000       0.000      39.303      -7.552      -0.290
   50      1      27.267       4.602      15.046       0.000       0.000       0.000      39.363      -7.552      -0.290
