  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      34.575       4.333      18.381       0.000       0.000       0.000      49.243      -8.046      -0.298
    2      1      34.528       4.337      18.390       0.000       0.000       0.000      49.214      -8.042      -0.298
    3      1      34.537       4.347      18.429       0.000       0.000       0.000      49.294      -8.019      -0.297
    4      1      34.481       4.343      18.480       0.000       0.000       0.000      49.301      -8.002      -0.296
    5      1      34.567       4.336      18.372       0.000       0.000       0.000      49.292      -7.983      -0.296
    6      1      34.607       4.326      18.352       0.000       0.000       0.000      49.340      -7.945      -0.294
    7      1      34.572       4.316      18.378       0.000       0.000       0.000      49.329      -7.938      -0.294
    8      1      33.837       4.196      18.399       0.000       0.000       0.000      48.518      -7.914      -0.293
    9      1      34.798       4.270      18.348       0.000       0.000       0.000      49.508      -7.908      -0.293
   10      1      34.804       4.311      18.324       0.000       0.000       0.000      49.545      -7.893      -0.292
   11      1      33.753       4.169      18.772       0.000       0.000       0.000      48.804      -7.889      -0.292
   12      1      34.593       4.318      18.357       0.000       0.000       0.000      49.408      -7.859      -0.291
   13      1      34.203       4.172      18.074       0.000       0.000       0.000      48.610      -7.838      -0.290
   14      1      34.656       4.298      18.326       0.000       0.000       0.000      49.451      -7.829      -0.290
   15      1      35.913       4.135      17.973       0.000       0.000       0.000      50.216      -7.805      -0.289
   16      1      33.233       6.320      22.096       0.000       0.000       0.000      53.883      -7.767      -0.288
   17      1      32.945       4.779      22.239       0.000       0.000       0.000      52.197      -7.766      -0.288
   18      1      34.483       4.361      18.487       0.000       0.000       0.000      49.569      -7.763      -0.288
   19      1      32.137       6.910      22.936       0.000       0.000       0.000      54.256      -7.728      -0.286
   20      1      33.772       4.142      18.561       0.000       0.000       0.000      48.756      -7.718      -0.286
   21      1      34.894       4.300      18.346       0.000       0.000       0.000      49.830      -7.710      -0.286
   22      1      34.697       4.326      18.398       0.000       0.000       0.000      49.713      -7.707      -0.285
   23      1      35.220       4.249      18.220       0.000       0.000       0.000      50.013      -7.676      -0.284
   24      1      33.756       4.152      18.456       0.000       0.000       0.000      48.696      -7.668      -0.284
   25      1      33.309       4.694      20.947       0.000       0.000       0.000      51.284      -7.666      -0.284
   26      1      34.618       4.350      18.454       0.000       0.000       0.000      49.758      -7.664      -0.284
   27      1      33.363       6.365      21.971       0.000       0.000       0.000      54.045      -7.654      -0.283
   28      1      34.106       4.190      18.099       0.000       0.000       0.000      48.742      -7.653      -0.283
   29      1      33.831       4.187      18.359       0.000       0.000       0.000      48.735      -7.641      -0.283
   30      1      34.345       5.173      20.356       0.000       0.000       0.000      52.235      -7.639      -0.283
   31      1      33.570       4.170      18.644       0.000       0.000       0.000      48.749      -7.636      -0.283
   32      1      33.777       4.065      18.871       0.000       0.000       0.000      49.085      -7.628      -0.283
   33      1      33.644       4.173      18.568       0.000       0.000       0.000      48.765      -7.620      -0.282
   34      1      32.898       4.570      21.347       0.000       0.000       0.000      51.196      -7.619      -0.282
   35      1      26.439       3.507      30.683       0.000       0.000       0.000      53.012      -7.617      -0.282
   36      1      33.482       5.019      20.481       0.000       0.000       0.000      51.368      -7.615      -0.282
   37      1      34.114       4.764      20.980       0.000       0.000       0.000      52.243      -7.615      -0.282
   38      1      33.590       4.151      18.715       0.000       0.000       0.000      48.843      -7.613      -0.282
   39      1      33.804       4.819      21.239       0.000       0.000       0.000      52.258      -7.605      -0.282
   40      1      33.377       4.117      19.108       0.000       0.000       0.000      49.007      -7.595      -0.281
   41      1      33.313       4.628      21.929       0.000       0.000       0.000      52.276      -7.594      -0.281
   42      1      33.554       4.732      21.499       0.000       0.000       0.000      52.193      -7.591      -0.281
   43      1      33.982       4.193      18.232       0.000       0.000       0.000      48.828      -7.579      -0.281
   44      1      33.599       4.064      18.955       0.000       0.000       0.000      49.046      -7.573      -0.280
   45      1      33.429       4.769      21.610       0.000       0.000       0.000      52.237      -7.571      -0.280
   46      1      33.070       4.859      20.984       0.000       0.000       0.000      51.345      -7.567      -0.280
   47      1      26.601       5.601      28.796       0.000       0.000       0.000      53.435      -7.563      -0.280
   48      1      34.559       4.318      18.381       0.000       0.000       0.000      49.697      -7.561      -0.280
   49      1      34.527       4.353      18.411       0.000       0.000       0.000      49.747      -7.544      -0.279
   50      1      33.742       4.889      21.171       0.000       0.000       0.000      52.264      -7.538      -0.279
